@c 0.44733947033
@x1 4.37619287404
@x0 0.000470367552523
@z 0.0876101742493
@t0 57942.8524641
time band flux fluxerr zp zpsys
57929.8524641 smg 1770.37852966 476.542503494 27.0670838938 ab
57934.8524641 smg 1123.68921496 476.005296602 26.0837602704 ab
57939.8524641 smg 1246.87028868 476.951148246 26.8013882023 ab
57944.8524641 smg 1494.83664292 476.759359683 26.7326536446 ab
57949.8524641 smg 3484.2829132 478.931260778 27.7046224723 ab
57954.8524641 smg 3484.07042113 478.819594087 27.8197173768 ab
57929.852603 smr 209.50318847 342.87508134 26.1814331179 ab
57934.852603 smr 240.116857865 342.307609479 24.9566180097 ab
57939.852603 smr 1829.05210567 344.751717922 26.6102461018 ab
57944.852603 smr 5174.69616133 348.929430325 27.5424598481 ab
57949.852603 smr 655.691655296 342.246738777 24.7410804663 ab
57954.852603 smr 555.33160906 342.171327114 24.7146724126 ab
57929.8527419 smi 2660.31836806 236.195426285 27.4771714504 ab
57934.8527419 smi 2062.07673367 235.096386864 26.912881762 ab
57939.8527419 smi 1066.978767 232.746145756 26.3664498727 ab
57944.8527419 smi 1052.44136047 232.701266464 26.3039320714 ab
57949.8527419 smi 894.800601307 232.551995096 26.2156556543 ab
57954.8527419 smi 1231.10610746 232.918865462 26.6003428967 ab
57929.8528808 smv 213.85912811 154.254789756 26.2798582493 ab
57934.8528808 smv 164.122352006 153.907023657 24.9534651364 ab
57926.8524641 kst 190.746770399 13.2850785554 25.47 ab
57927.1024641 kst 184.131745582 13.8787743878 25.47 ab
57927.3524641 kst 211.29320616 14.4657942726 25.47 ab
57927.6024641 kst 240.833898117 15.0434320501 25.47 ab
57927.8524641 kst 255.496174033 15.6177389072 25.47 ab
57928.1024641 kst 267.597539899 16.1919180655 25.47 ab
57928.3524641 kst 291.620016849 16.754313274 25.47 ab
57928.6024641 kst 275.900276678 17.2946751446 25.47 ab
57928.8524641 kst 340.065616742 17.8090728316 25.47 ab
57929.1024641 kst 347.058008331 18.312735213 25.47 ab
57929.3524641 kst 363.810858892 18.7983167261 25.47 ab
57929.6024641 kst 333.866384868 19.2561097653 25.47 ab
57929.8524641 kst 383.579249234 19.6775032367 25.47 ab
57930.1024641 kst 392.099824447 20.0661067154 25.47 ab
57930.3524641 kst 389.531562619 20.4285909042 25.47 ab
57930.6024641 kst 386.462627348 20.7682336481 25.47 ab
57930.8524641 kst 474.530706658 21.0880197908 25.47 ab
57931.1024641 kst 467.806601673 21.3891177882 25.47 ab
57931.3524641 kst 497.115241444 21.6709624657 25.47 ab
57931.6024641 kst 475.139381511 21.9351732615 25.47 ab
57931.8524641 kst 500.951954213 22.1832884577 25.47 ab
57932.1024641 kst 545.447101933 22.4165081103 25.47 ab
57932.3524641 kst 526.719140085 22.6345959924 25.47 ab
57932.6024641 kst 552.856615811 22.8380785863 25.47 ab
57932.8524641 kst 502.213726527 23.0276303308 25.47 ab
57933.1024641 kst 525.632864313 23.2038371277 25.47 ab
57933.3524641 kst 516.067613186 23.3655503866 25.47 ab
57933.6024641 kst 524.219809441 23.5137547564 25.47 ab
57933.8524641 kst 551.340083875 23.6508052831 25.47 ab
