@c -0.518518583635
@x1 4.90812426267
@x0 0.00585974848171
@z 0.0259478419356
@t0 57892.043606
time band flux fluxerr zp zpsys
57886.043606 smg 16481.1249465 493.250509822 26.842035776 ab
57891.043606 smg 33880.2710652 509.010082572 27.5844270765 ab
57896.043606 smg 16825.9275161 493.368403454 26.9351581992 ab
57901.043606 smg 12547.9166138 488.660619382 26.6757091634 ab
57906.043606 smg 6489.635249 481.654536647 26.1264947361 ab
57911.043606 smg 32317.6549871 508.115498996 28.2081047063 ab
57916.043606 smg 1071.56614477 477.027792721 25.5002681939 ab
57921.043606 smg 6229.54945164 481.833421148 27.1051690403 ab
57886.0437449 smr 2424.68598919 345.339267015 25.5759909728 ab
57891.0437449 smr 8956.32418783 353.870233116 26.8449355627 ab
57896.0437449 smr 2033.33500169 345.142036191 25.4254189565 ab
57901.0437449 smr 2769.83912913 345.956917396 25.7299979155 ab
57906.0437449 smr 2809.93097032 344.961718197 25.8106319461 ab
57911.0437449 smr 2686.17724805 346.137510611 26.3350985247 ab
57916.0437449 smr 2228.58930154 344.146659437 25.6037494864 ab
57921.0437449 smr 655.41643871 342.693655368 24.4743079277 ab
57886.0438838 smi 8351.04740342 248.032659266 27.6244438922 ab
57891.0438838 smi 4291.71082804 239.022428113 27.0186912049 ab
57896.0438838 smi 3119.8037952 236.669441062 26.8417960294 ab
57901.0438838 smi 1387.49551087 233.024375207 25.9294280234 ab
57906.0438838 smi 1818.2696057 233.974613056 26.8502417097 ab
57911.0438838 smi 518.809329295 231.732668016 26.1619716742 ab
57916.0438838 smi 1568.44520326 233.100110773 26.7377969528 ab
57921.0438838 smi 3899.8104005 239.853760706 27.2891878973 ab
57886.0440227 smv 2353.87526181 161.046818921 23.980248466 ab
57891.0440227 smv 2471.72206137 161.538409175 24.2685314889 ab
57876.043606 kst 589.307492695 24.0217772711 25.47 ab
57876.293606 kst 621.740844244 25.4343136086 25.47 ab
57876.543606 kst 688.922019245 26.8307895134 25.47 ab
57876.793606 kst 798.28962141 28.2031493254 25.47 ab
57877.043606 kst 833.226814353 29.5681181465 25.47 ab
57877.293606 kst 966.693547602 30.920559549 25.47 ab
57877.543606 kst 1034.6178214 32.2531673407 25.47 ab
57877.793606 kst 1147.81754834 33.5651779015 25.47 ab
57878.043606 kst 1075.11889985 34.8804686714 25.47 ab
57878.293606 kst 1346.40374436 36.1768185126 25.47 ab
57878.543606 kst 1403.34469244 37.4269179631 25.47 ab
57878.793606 kst 1516.13395993 38.6117948177 25.47 ab
57879.043606 kst 1540.45566937 39.7659806764 25.47 ab
57879.293606 kst 1699.7184848 40.8792978008 25.47 ab
57879.543606 kst 1722.48184071 41.9266703506 25.47 ab
57879.793606 kst 1825.26913894 42.8862397726 25.47 ab
57880.043606 kst 1966.00389465 43.7674564824 25.47 ab
57880.293606 kst 1982.7535284 44.5861274004 25.47 ab
57880.543606 kst 2039.52401882 45.3505466597 25.47 ab
57880.793606 kst 2115.97765789 46.0681442238 25.47 ab
57881.043606 kst 2235.83758409 46.7391632372 25.47 ab
57881.293606 kst 2193.44332087 47.3646388624 25.47 ab
57881.543606 kst 2267.71538838 47.9486978478 25.47 ab
57881.793606 kst 2329.85183223 48.4951516239 25.47 ab
57882.043606 kst 2315.5547955 49.0050515042 25.47 ab
57882.293606 kst 2425.68835035 49.4785805967 25.47 ab
57882.543606 kst 2496.81476459 49.9174728512 25.47 ab
57882.793606 kst 2537.46019511 50.3233277607 25.47 ab
57883.043606 kst 2528.78841997 50.6949497289 25.47 ab
57883.293606 kst 2634.14932768 51.0328406959 25.47 ab
57883.543606 kst 2723.41324459 51.3423055379 25.47 ab
57883.793606 kst 2673.45275636 51.628484534 25.47 ab
57884.043606 kst 2673.71714086 51.89323968 25.47 ab
