@c 0.128670510063
@x1 -1.27299845443
@x0 0.000401737660382
@z 0.0943510120952
@t0 57938.021023
time band flux fluxerr zp zpsys
57922.021023 kst 11.4303980295 3.77844846367 25.47 ab
57922.271023 kst 5.24485589432 4.25202092706 25.47 ab
57922.521023 kst 18.7677340109 4.7082171833 25.47 ab
57922.771023 kst 21.8656021001 5.14658688752 25.47 ab
57923.021023 kst 31.5165214379 5.57500080617 25.47 ab
57923.271023 kst 34.0402709935 5.99573458192 25.47 ab
57923.521023 kst 45.4120797777 6.40805158779 25.47 ab
57923.771023 kst 46.8473969837 6.81136410059 25.47 ab
57924.021023 kst 49.5990715901 7.20683856759 25.47 ab
57924.271023 kst 61.5642828584 7.59693556756 25.47 ab
57924.521023 kst 50.5649806796 7.98206188622 25.47 ab
57924.771023 kst 74.8705646276 8.36252671841 25.47 ab
57925.021023 kst 80.3282058115 8.73856487465 25.47 ab
57925.271023 kst 70.1504840727 9.11064613423 25.47 ab
57925.521023 kst 102.448212013 9.47968675429 25.47 ab
57925.771023 kst 84.0470030258 9.84650045197 25.47 ab
57926.021023 kst 97.1675652225 10.2117603144 25.47 ab
57926.271023 kst 98.452127384 10.5749982917 25.47 ab
57926.521023 kst 97.2896131905 10.9365368462 25.47 ab
57926.771023 kst 137.21546317 11.2973204011 25.47 ab
57927.021023 kst 136.783182505 11.658176127 25.47 ab
57927.271023 kst 140.51883827 12.0192373753 25.47 ab
57927.521023 kst 123.019302967 12.3798316405 25.47 ab
57927.771023 kst 167.14876531 12.740520069 25.47 ab
57928.021023 kst 180.670101267 13.1018474388 25.47 ab
57928.271023 kst 187.780288487 13.4652087309 25.47 ab
57928.521023 kst 177.132896035 13.8361513396 25.47 ab
57928.771023 kst 211.215876722 14.2077824769 25.47 ab
57929.021023 kst 230.647925486 14.5714110298 25.47 ab
57929.271023 kst 257.251097414 14.9191880887 25.47 ab
57929.521023 kst 218.645690567 15.2541593182 25.47 ab
57929.771023 kst 255.014047644 15.5809552207 25.47 ab
57930.021023 kst 245.567950437 15.8959326558 25.47 ab
57930.271023 kst 258.699917981 16.1957105198 25.47 ab
57930.521023 kst 270.674052568 16.4786348077 25.47 ab
57930.771023 kst 281.087653859 16.7484437479 25.47 ab
57931.021023 kst 264.210135739 17.005623878 25.47 ab
57931.271023 kst 296.218700545 17.2502235052 25.47 ab
57931.521023 kst 280.699808294 17.4823260459 25.47 ab
57931.771023 kst 291.416101952 17.7031241341 25.47 ab
57932.021023 kst 333.859685372 17.9127879562 25.47 ab
57932.271023 kst 304.070355313 18.110949542 25.47 ab
57932.521023 kst 322.081545424 18.2972356248 25.47 ab
57932.771023 kst 345.775730085 18.4715861138 25.47 ab
57933.021023 kst 340.283219436 18.6347671868 25.47 ab
57933.271023 kst 349.307828766 18.7874812864 25.47 ab
57933.521023 kst 334.439332444 18.9303873479 25.47 ab
57933.771023 kst 363.584067263 19.0637901009 25.47 ab
57934.021023 kst 369.005647369 19.1868339502 25.47 ab
57934.271023 kst 361.933568693 19.3007634949 25.47 ab
57934.521023 kst 370.069754991 19.4071088521 25.47 ab
57934.771023 kst 380.168367882 19.5073452361 25.47 ab
57935.021023 kst 365.723547015 19.6017238865 25.47 ab
57935.271023 kst 383.698534318 19.6895559902 25.47 ab
57935.521023 kst 390.832381719 19.7704086801 25.47 ab
57935.771023 kst 397.032593213 19.8438490743 25.47 ab
57936.021023 kst 362.841482693 19.9098304836 25.47 ab
