@c -0.309366712822
@x1 3.02580555372
@x0 0.0511436527375
@z 0.00889462985682
@t0 58046.9250294
time band flux fluxerr zp zpsys
58035.9250294 smg 26237.1391809 163.527257224 25.4982114321 ab
58040.9250294 smg 93237.1927881 307.005609128 26.4020180971 ab
58045.9250294 smg 133028.488232 366.236325933 26.7263976022 ab
58050.9250294 smg 99011.8394815 316.337602273 26.4606092483 ab
58055.9250294 smg 136162.969644 370.50370901 26.9499266007 ab
58060.9250294 smg 178684.270811 423.455192195 27.5412661338 ab
58065.9250294 smg 81634.9860449 286.842234399 27.0064224238 ab
58035.9251683 smr 6900.87465107 85.7211006402 24.5746609081 ab
58040.9251683 smr 18276.1233902 137.794313043 25.2124263502 ab
58045.9251683 smr 14268.5880394 122.65477531 24.8261992103 ab
58050.9251683 smr 18415.6107601 138.168458964 25.0695056127 ab
58055.9251683 smr 15583.0918131 126.618173319 25.0311925374 ab
58060.9251683 smr 9579.10388733 101.874358125 24.915848772 ab
58065.9251683 smr 20185.202721 143.460707308 25.8294182677 ab
58035.9253072 smi 66726.9478326 259.984460776 27.5090259806 ab
58040.9253072 smi 70595.5227084 266.552662883 27.2465044149 ab
58045.9253072 smi 95584.8557555 310.579567549 27.6302464565 ab
58050.9253072 smi 56368.9756716 238.90314558 27.2461776906 ab
58055.9253072 smi 40444.8081676 203.482856639 27.0826278889 ab
58060.9253072 smi 53068.9183871 231.675396757 27.8091935048 ab
58065.9253072 smi 3898.96279833 67.3192382988 25.1357350429 ab
