@c 0.00759738721099
@x1 1.4733634946
@x0 0.00943270137236
@z 0.0205331767467
@t0 57763.3431543
time band flux fluxerr zp zpsys
57754.3431543 smg 13051.9874778 489.125980308 26.3983451895 ab
57759.3431543 smg 15138.3168684 490.686787861 26.1003377288 ab
57764.3431543 smg 22015.5162168 497.674324084 26.4633544317 ab
57769.3431543 smg 24718.8326964 500.85522455 26.7376285787 ab
57774.3431543 smg 14368.9975591 490.31059876 26.4071382479 ab
57779.3431543 smg 16770.9395213 492.695650473 26.9418857414 ab
57784.3431543 smg 6238.44230363 481.583967255 26.2037648717 ab
57789.3431543 smg 21785.9693446 497.276782136 27.8926466263 ab
57794.3431543 smg 4305.24173052 479.642090545 26.4589353682 ab
57799.3431543 smg 7296.10023367 483.423440099 27.447464883 ab
57804.3431543 smg 7553.76473631 482.325582028 27.5401150736 ab
57809.3431543 smg 1320.35423102 476.36283184 25.8027487447 ab
57814.3431543 smg 2900.51180925 477.829173044 26.6936258091 ab
57754.3432931 smr 15685.5294638 364.683441464 26.7577213564 ab
57759.3432931 smr 22210.9985526 372.526515186 26.6749801285 ab
57764.3432931 smr 5094.02929982 349.025570564 24.9722381995 ab
57769.3432931 smr 9518.11146971 355.774178871 25.7691043491 ab
57774.3432931 smr 7208.67313392 352.728426209 25.7842257294 ab
57779.3432931 smr 4080.88638865 347.882518224 25.4522581577 ab
57784.3432931 smr 48889.262517 405.967264295 28.1451887216 ab
57789.3432931 smr 11100.9884375 358.159414164 26.6156344608 ab
57794.3432931 smr 7944.10433198 353.170256042 26.3459735058 ab
57799.3432931 smr 3671.09747262 347.015899187 25.7720045092 ab
57804.3432931 smr 700.531857735 342.775307985 24.3232920671 ab
57809.3432931 smr 2254.83057314 345.22795008 25.8717145087 ab
57814.3432931 smr 3002.46498301 345.435349529 26.0915657826 ab
57754.343432 smi 3232.20102204 236.923089365 25.2369279027 ab
57759.343432 smi 5001.35542511 241.193673696 25.544845237 ab
57764.343432 smi 13519.4944763 258.075748945 26.7407438525 ab
57769.343432 smi 9919.85033924 250.755345701 26.5389847671 ab
57774.343432 smi 13414.2881145 258.399408291 27.2328924912 ab
57779.343432 smi 2405.57221389 235.320513196 25.5484510514 ab
57784.343432 smi 3025.03015814 236.153148341 25.6925438589 ab
57789.343432 smi 11767.251019 253.650067682 27.0641745715 ab
57794.343432 smi 6449.79542485 244.6188079 26.4437159389 ab
57799.343432 smi 9130.65537081 249.378273318 26.9342262511 ab
57804.343432 smi 2216.64403243 233.947806955 25.4000442786 ab
57809.343432 smi 3271.24014037 237.550432301 26.4184063636 ab
57814.343432 smi 3850.18721964 239.168602295 26.7267972531 ab
57754.3435709 smv 3709.95079267 164.502562575 25.058055977 ab
57759.3435709 smv 3074.64653587 162.454058396 24.486570852 ab
