@c -0.309366712822
@x1 3.02580555372
@x0 0.0511436527375
@z 0.00889462985682
@t0 58046.9250294
time band flux fluxerr zp zpsys
58035.9250294 smg 106820.195121 576.735998352 27.0296742673 ab
58040.9250294 smg 208061.670895 659.040760232 27.2728114988 ab
58045.9250294 smg 166510.647991 626.813104602 26.9714425944 ab
58050.9250294 smg 104620.32551 574.436173475 26.512946596 ab
58055.9250294 smg 54030.7302867 528.841491828 25.9421668939 ab
58060.9250294 smg 184421.498524 640.726425971 27.578763252 ab
58065.9250294 smg 38979.0727313 514.345115761 26.2013705004 ab
58035.9251683 smr 15633.5141323 363.589437892 25.4733709126 ab
58040.9251683 smr 26992.1765063 379.952118257 25.6554367801 ab
58045.9251683 smr 92551.5757206 457.435607933 26.8433351472 ab
58050.9251683 smr 40281.4862145 396.478994685 25.9205661652 ab
58055.9251683 smr 16658.2269866 365.832613558 25.1424480363 ab
58060.9251683 smr 19737.5940745 369.263194164 25.6725643002 ab
58065.9251683 smr 12767.248859 359.425876566 25.3169575128 ab
58035.9253072 smi 52989.464365 325.16289221 27.249721101 ab
58040.9253072 smi 56987.5762724 330.67022501 27.0042595201 ab
58045.9253072 smi 85975.1125878 373.05023372 27.5151589993 ab
58050.9253072 smi 20635.4532209 271.514415033 26.1552783354 ab
58055.9253072 smi 19150.9131016 269.997248538 26.3012567343 ab
58060.9253072 smi 12035.8471671 255.025761134 26.1933589324 ab
58065.9253072 smi 16659.4101283 263.624329263 26.6953550356 ab
58035.9254461 smv 11884.6576428 187.777124187 24.2619586697 ab
58040.9254461 smv 57545.2600131 285.105176637 25.5560325345 ab
