@c 0.0226149017503
@x1 -0.803308586708
@x0 0.000464834021992
@z 0.0880997470851
@t0 57879.2325296
time band flux fluxerr zp zpsys
57866.2325296 smg 221.744684712 475.387700069 26.7254677484 ab
57871.2325296 smg 356.797342625 475.687018808 26.2144450311 ab
57876.2325296 smg 1284.80413069 475.503726586 25.3642719056 ab
57881.2325296 smg 1882.34676208 477.409461474 27.2008147409 ab
57886.2325296 smg 781.024172425 476.209560721 26.663791312 ab
57891.2325296 smg -60.122174262 475.798209312 26.5840038252 ab
57896.2325296 smg 307.080186926 475.366702953 26.1030402505 ab
57901.2325296 smg 3055.6611232 477.651882411 28.9764890278 ab
57906.2325296 smg 1008.54786056 475.623543302 27.704795294 ab
57866.2326684 smr -133.403781075 341.783349361 24.7701516502 ab
57871.2326684 smr 236.911745657 342.121464187 25.4935345463 ab
57876.2326684 smr 588.18803179 342.934643211 26.2240791968 ab
57881.2326684 smr 550.966502556 342.021990695 24.6380804032 ab
57886.2326684 smr 1425.14346686 344.496951364 27.1488508798 ab
57891.2326684 smr 825.883375014 342.488802892 26.0579733013 ab
57896.2326684 smr -647.160683874 342.034586875 25.3490841833 ab
57901.2326684 smr 1315.8984984 343.80933313 27.5834820211 ab
57906.2326684 smr 422.501229614 342.714323869 27.0265042662 ab
57866.2328073 smi 817.53029634 231.843451092 27.5794293085 ab
57871.2328073 smi 523.691238995 231.247331875 25.9238321557 ab
57876.2328073 smi 1380.98475471 233.431186293 27.060735207 ab
57881.2328073 smi 1290.91762389 233.631645659 27.1818135525 ab
57886.2328073 smi 724.600536261 231.459458208 26.1180926494 ab
57891.2328073 smi 998.577444152 232.647641956 27.3381258488 ab
57896.2328073 smi 1439.61982613 232.735482357 27.4271481951 ab
57901.2328073 smi 561.886813773 231.542775517 26.5769348108 ab
57906.2328073 smi 1091.05812345 232.645694367 27.3708992448 ab
57866.2329462 smv -290.381152898 153.49402819 24.6014901274 ab
57871.2329462 smv 104.298740422 154.057955178 25.5008687896 ab
