@c -0.149443510651
@x1 -3.981266457
@x0 0.00107969815045
@z 0.0590135066226
@t0 57967.2501019
time band flux fluxerr zp zpsys
57951.2501019 kst -70.7013728534 8.16149419042 25.47 ab
57951.5001019 kst -78.6243760914 8.17224117732 25.47 ab
57951.7501019 kst -93.7548810418 8.13621742941 25.47 ab
57952.0001019 kst -54.3685368398 8.05780993073 25.47 ab
57952.2501019 kst -53.9729893821 7.94281810471 25.47 ab
57952.5001019 kst -50.1455669388 7.79694587272 25.47 ab
57952.7501019 kst -57.9334275238 7.62276090849 25.47 ab
57953.0001019 kst -54.3076195571 7.40943624788 25.47 ab
57953.2501019 kst -61.196186253 7.14197981194 25.47 ab
57953.5001019 kst -50.3613812764 6.80205810998 25.47 ab
57953.7501019 kst -36.1925661579 6.38996755861 25.47 ab
57954.0001019 kst -33.5986055268 5.89175038885 25.47 ab
57954.2501019 kst -32.5896935824 5.25884178285 25.47 ab
57954.5001019 kst -11.919357797 4.4050061056 25.47 ab
57954.7501019 kst -9.12054987311 3.13755676035 25.47 ab
57955.0001019 kst 0.488963404436 0.940201217929 25.47 ab
57955.2501019 kst 12.0262202883 3.56575223942 25.47 ab
57955.5001019 kst 20.273365975 5.06418072074 25.47 ab
57955.7501019 kst 33.2960417423 6.29731237742 25.47 ab
57956.0001019 kst 60.3906990341 7.3989562714 25.47 ab
57956.2501019 kst 81.5808631037 8.42255047448 25.47 ab
57956.5001019 kst 79.4900549331 9.39522401065 25.47 ab
57956.7501019 kst 113.342361451 10.3325118414 25.47 ab
57957.0001019 kst 124.339618234 11.2416547447 25.47 ab
57957.2501019 kst 166.36386086 12.12970401 25.47 ab
57957.5001019 kst 156.34254832 13.0024088257 25.47 ab
57957.7501019 kst 175.988126283 13.8643172816 25.47 ab
57958.0001019 kst 235.002733544 14.7353212863 25.47 ab
57958.2501019 kst 241.052036075 15.603883411 25.47 ab
57958.5001019 kst 289.250842819 16.4444074608 25.47 ab
57958.7501019 kst 302.573306149 17.2361991714 25.47 ab
57959.0001019 kst 349.281154266 17.9832892173 25.47 ab
57959.2501019 kst 314.543335376 18.7060310476 25.47 ab
57959.5001019 kst 357.99390161 19.3961924248 25.47 ab
57959.7501019 kst 399.351990058 20.0462586799 25.47 ab
57960.0001019 kst 425.216366178 20.6533564388 25.47 ab
57960.2501019 kst 462.93178828 21.2281231248 25.47 ab
57960.5001019 kst 449.776334508 21.7730923096 25.47 ab
57960.7501019 kst 480.03315232 22.289576248 25.47 ab
57961.0001019 kst 516.727734362 22.7789266611 25.47 ab
57961.2501019 kst 562.621683561 23.2441007141 25.47 ab
57961.5001019 kst 558.355034162 23.6857193782 25.47 ab
57961.7501019 kst 572.92274366 24.1037597679 25.47 ab
57962.0001019 kst 621.35976701 24.4981726925 25.47 ab
57962.2501019 kst 641.292389483 24.8705838145 25.47 ab
57962.5001019 kst 634.269538713 25.2222738498 25.47 ab
