@c 0.144278291194
@x1 -1.37285648306
@x0 0.000596410236204
@z 0.0783160280646
@t0 58080.8088391
time band flux fluxerr zp zpsys
58075.8088391 smg 3951.89596578 68.5491950512 27.7001050081 ab
58080.8088391 smg 3922.15671031 68.0204657557 27.4845671258 ab
58085.8088391 smg 2658.21396239 58.7419011033 27.2656852342 ab
58090.8088391 smg 2650.14451656 58.5335581892 27.6325909153 ab
58095.8088391 smg 1326.11543512 46.1523968625 27.4232553384 ab
58100.8088391 smg 262.985956044 30.8018300705 26.1750334687 ab
58105.8088391 smg 626.082191279 37.2088729063 27.5443596241 ab
58110.8088391 smg 182.118771872 30.0114020066 26.6756518158 ab
58115.8088391 smg 167.819002271 31.1415911107 27.1486829587 ab
58120.8088391 smg 152.95320205 28.5482849345 26.5102448752 ab
58125.8088391 smg 70.6616625275 26.3887409033 25.5722803645 ab
58075.808978 smr 589.246155326 35.2631258261 25.5667157166 ab
58080.808978 smr 389.494232181 32.3327027688 24.9715935696 ab
58085.808978 smr 1108.90064629 41.2295029346 25.9802289684 ab
58090.808978 smr 443.245273325 33.2556498925 25.4032142696 ab
58095.808978 smr 316.908225891 31.0047163926 25.2686911803 ab
58100.808978 smr 457.781380322 33.7629640683 25.8747158096 ab
58105.808978 smr 139.783927164 28.6746076274 25.1283381248 ab
58110.808978 smr 130.125203205 26.8460048365 24.8270712067 ab
58115.808978 smr 79.1165060325 26.8047287577 25.0271501057 ab
58120.808978 smr 44.156506292 26.0417805302 24.8261490853 ab
58125.808978 smr 63.7780016215 26.0412800983 24.8953049945 ab
58075.8091169 smi 2887.66334048 60.0056618859 27.3994783733 ab
58080.8091169 smi 2192.64499218 54.0926145122 27.0888628737 ab
58085.8091169 smi 1990.54430666 53.1863452923 27.1588009907 ab
58090.8091169 smi 361.670892639 31.3297963609 25.5592272521 ab
58095.8091169 smi 643.717114043 36.7296887212 26.4268464526 ab
58100.8091169 smi 1299.87492174 45.2884634581 27.1163347329 ab
58105.8091169 smi 320.346203641 31.2852448068 25.5890934357 ab
58110.8091169 smi 172.128534423 27.7390070963 24.96939107 ab
58115.8091169 smi 417.953694535 33.3586637772 26.503546532 ab
58120.8091169 smi 287.991883421 31.9199124094 26.5484427425 ab
58125.8091169 smi 568.58921584 35.8945102316 27.3330859195 ab
