@c 0.594965582144
@x1 -1.76709909957
@x0 0.000364335039317
@z 0.0987700327454
@t0 57827.0477806
time band flux fluxerr zp zpsys
57817.0477806 smg 152.262923892 475.443324978 26.469565953 ab
57822.0477806 smg 793.331191363 475.499259363 25.6975541983 ab
57827.0477806 smg 2169.54700925 477.127139346 27.2082298456 ab
57832.0477806 smg 773.830028511 475.527793818 25.7303214989 ab
57837.0477806 smg 882.773515074 476.087295637 27.0058871966 ab
57842.0477806 smg 1118.03026725 475.619576969 26.8478396427 ab
57847.0477806 smg 852.125720238 475.549001457 27.2774768718 ab
57852.0477806 smg 258.40399755 475.179822203 26.0396695523 ab
57857.0477806 smg 519.742098889 475.147330706 26.0829658875 ab
57862.0477806 smg -19.3432651657 475.138154621 26.169439096 ab
57867.0477806 smg -706.348925058 475.151816501 26.5199072857 ab
57872.0477806 smg -312.658001723 475.178993338 26.9697093019 ab
57817.0479195 smr 727.600127233 342.427920543 26.1963752471 ab
57822.0479195 smr 819.418274188 342.923107253 25.9242581547 ab
57827.0479195 smr 1017.91173563 343.252224857 25.9419931866 ab
57832.0479195 smr 1209.3396414 344.018864054 26.4300699489 ab
57837.0479195 smr 540.248593345 342.11516898 24.8399904643 ab
57842.0479195 smr 1028.9939455 342.867387177 26.2498381542 ab
57847.0479195 smr 126.407101207 342.340501512 25.8181887647 ab
57852.0479195 smr 530.804058172 342.199043568 25.8046747085 ab
57857.0479195 smr 126.064055062 342.001188723 25.636861696 ab
57862.0479195 smr 307.697040942 341.853330995 25.2309017664 ab
57867.0479195 smr 26.001753434 342.109714062 26.5726084732 ab
57872.0479195 smr 480.509800802 342.098327014 26.627833121 ab
57817.0480584 smi 3509.13651031 237.101105445 27.8164797564 ab
57822.0480584 smi 1528.39400873 232.980457494 26.0823217104 ab
57827.0480584 smi 3219.54796088 237.788795725 27.1965386957 ab
57832.0480584 smi 2018.52424013 234.792320634 26.7476505634 ab
57837.0480584 smi 3380.49939197 237.789045138 27.7206353116 ab
57842.0480584 smi 616.93335372 232.692151704 26.5495182535 ab
57847.0480584 smi 1587.14896792 233.146327802 26.6974296753 ab
57852.0480584 smi 1365.86166021 232.92355471 26.5919279217 ab
57857.0480584 smi 685.966116589 231.663725995 26.14091589 ab
57862.0480584 smi 1076.72180769 231.901764207 26.749472358 ab
57867.0480584 smi 396.87725278 230.695344849 25.2597583801 ab
57872.0480584 smi 1824.55349143 234.529801241 28.4222981224 ab
57817.0481973 smv -4.37353280924 153.524553099 25.2953391235 ab
57822.0481973 smv 15.060096721 153.654252428 25.169784671 ab
