time flux flux_err zp zpsys filter
-2451570.510086 433.1456870000002 21.07029837391617 25.47 ab kst
-2451570.489652 457.7362039999998 22.151701397844835 25.47 ab kst
-2451570.469219 452.7387319999998 21.917140106148313 25.47 ab kst
-2451570.448785 446.0985920000003 21.61500623800719 25.47 ab kst
-2451570.428351 460.23189999999977 22.231357750810595 25.47 ab kst
-2451570.407918 432.8841830000001 21.018525887433185 25.47 ab kst
-2451570.387484 464.8535060000004 22.416756914503203 25.47 ab kst
-2451570.367051 482.5508460000001 23.179977690261104 25.47 ab kst
-2451570.346617 487.7861810000004 23.405171770064136 25.47 ab kst
-2451570.326184 479.3362820000002 23.029517584873275 25.47 ab kst
-2451570.30575 470.44599300000027 22.634236054631742 25.47 ab kst
-2451570.285316 506.990444 24.190790742804182 25.47 ab kst
-2451570.264883 438.66667700000016 21.268455489843248 25.47 ab kst
-2451570.244449 471.2834219999995 22.648823105939726 25.47 ab kst
-2451570.224015 463.88694600000053 22.306129938294912 25.47 ab kst
-2451570.203582 464.66397700000016 22.341376821790977 25.47 ab kst
-2451570.183148 460.0692429999999 22.067562413249416 25.47 ab kst
-2451570.162715 478.1093469999996 22.824756751183372 25.47 ab kst
-2451570.142281 464.7812409999997 22.24501832760118 25.47 ab kst
-2451570.121847 462.54811900000004 22.160443144292262 25.47 ab kst
-2451570.08098 466.96950000000015 22.32928924513802 25.47 ab kst
-2451570.060547 482.618383 23.00051044313601 25.47 ab kst
-2451570.040113 526.7713909999993 24.875434483491723 25.47 ab kst
-2451570.019679 496.6883909999997 23.589004351852587 25.47 ab kst
-2451569.999246 489.32866399999966 23.300554371158555 25.47 ab kst
-2451569.978812 467.1211969999995 22.38703254782109 25.47 ab kst
-2451569.958379 522.3389200000001 24.75730422972344 25.47 ab kst
-2451569.937945 505.1330479999997 24.010820673363767 25.47 ab kst
-2451569.917511 532.214199 25.11886400319107 25.47 ab kst
-2451569.897078 506.93833900000027 24.06630856210866 25.47 ab kst
-2451569.876644 490.47292500000003 23.334385825444336 25.47 ab kst
-2451569.856211 473.92817000000014 22.56827334342157 25.47 ab kst
-2451569.835777 505.4260799999993 24.000919248536952 25.47 ab kst
-2451569.815343 507.2814790000002 24.082239965651816 25.47 ab kst
-2451569.79491 500.65247400000044 23.79996114690202 25.47 ab kst
-2451569.774476 499.752872 23.772999535393268 25.47 ab kst
-2451569.713175 480.8866130000006 23.19077109827736 25.47 ab kst
-2451569.692742 469.19721599999957 22.690264481239854 25.47 ab kst
-2451569.672308 472.65726899999936 22.833393451139344 25.47 ab kst
-2451569.651875 459.7174780000005 22.26116429025615 25.47 ab kst
-2451569.631441 463.13193200000023 22.395282420184643 25.47 ab kst
-2451569.590574 516.7812810000005 24.6973044164711 25.47 ab kst
-2451569.57014 514.3569210000005 24.588725401538387 25.47 ab kst
-2451569.549706 497.3348810000007 23.852629394717745 25.47 ab kst
-2451569.529273 510.62864099999933 24.412914644500223 25.47 ab kst
-2451569.508839 507.86354200000005 24.291220526998554 25.47 ab kst
-2451569.488406 505.9787040000001 24.20219503265483 25.47 ab kst
-2451569.467972 510.8241429999998 24.404920717219444 25.47 ab kst
-2451569.447539 516.5852729999997 24.635340554578697 25.47 ab kst
-2451569.427105 528.4381229999999 25.130939659149576 25.47 ab kst
-2451569.406671 515.1714310000007 24.571547786927482 25.47 ab kst
-2451569.386238 499.90221999999994 23.913119057462417 25.47 ab kst
-2451569.365804 480.6192810000002 23.078335394029583 25.47 ab kst
-2451569.345371 512.7009229999994 24.4528709839404 25.47 ab kst
-2451569.324937 494.5057710000001 23.673640388745586 25.47 ab kst
-2451569.304503 473.8933710000001 22.77846702411923 25.47 ab kst
-2451569.28407 490.62212 23.495944544846875 25.47 ab kst
-2451569.263636 484.59391700000015 23.240460327828963 25.47 ab kst
-2451569.243203 458.17379699999947 22.08588144284049 25.47 ab kst
-2451569.222769 473.9240570000002 22.756136207126747 25.47 ab kst
-2451569.202335 429.67925600000035 20.813510659353806 25.47 ab kst
-2451569.181902 423.5355749999999 20.53566727522708 25.47 ab kst
-2451569.161468 449.5641260000002 21.67755438622472 25.47 ab kst
-2451569.141034 426.36880199999996 20.647272235520763 25.47 ab kst
-2451569.079734 495.14158399999997 23.62519560613197 25.47 ab kst
-2451569.0593 455.825562 21.93077778983833 25.47 ab kst
-2451569.038866 450.22989700000016 21.69344764043598 25.47 ab kst
-2451569.018433 470.1199799999995 22.56729035961522 25.47 ab kst
-2451568.977566 424.769397 20.594059527371925 25.47 ab kst
-2451568.957132 426.51855499999965 20.67184748270653 25.47 ab kst
-2451568.936698 431.9240609999997 20.906462349787592 25.47 ab kst
-2451568.916265 401.9819319999997 19.57517620490578 25.47 ab kst
-2451568.895831 394.82149799999934 19.24888883775777 25.47 ab kst
-2451568.854964 505.66661999999997 24.074088028485757 25.47 ab kst
