K2_Time,Filter,Raw,RB,Sky,Error
3262.469457,g,0,0,22724.80469,0
3262.48989,g,6685.762565,5.404379,22700.23828,36.146627
3262.510324,g,6730.211264,4.61455,22691.49414,36.16858
3262.530757,g,6726.043834,5.259492,22668.34375,36.151785
3262.551191,g,6745.746468,3.320558,22654.88672,36.155625
3262.571625,g,6755.15596,3.18323,22655.00391,36.161482
3262.592058,g,0,0,22624.29492,0
3262.612492,g,6732.721054,4.363351,22604.36719,36.116532
3262.632925,g,6677.525414,6.246056,22604.97656,36.082916
3262.653359,g,6638.754277,6.547413,22603.51953,36.058122
3262.673792,g,6733.830457,4.105401,22577.34766,36.100579
3262.694226,g,6683.165524,7.033446,22552.75781,36.054206
3262.71466,g,6741.094234,4.50177,22556.05078,36.091936
3262.735093,g,0,0,22412.32031,0
3262.755527,g,6741.367754,3.910703,22268.58984,35.914604
3262.775961,g,6729.467435,4.477465,22070.92383,35.784646
3262.796394,g,6699.580045,6.030334,22048.67383,35.752241
3262.816828,g,6726.310409,4.601644,22043.61328,35.765713
3262.837261,g,6742.127107,3.743243,22043.01172,35.775169
3262.857695,g,6683.15715,6.755074,22007.13086,35.716179
3262.878129,g,6697.480344,6.739266,21998.93555,35.719993
3262.898562,g,0,0,21998.83203,0
3262.918996,g,6780.802416,3.251215,21984.19336,35.76265
3262.939429,g,6739.052151,3.684261,21976.77539,35.732072
3262.959863,g,6751.597533,3.893585,21948.98828,35.722588
3262.980297,g,6742.16575,4.695571,21929.64648,35.704677
3263.00073,g,6744.189712,4.504481,21938.21484,35.711271
3263.021164,g,6716.459892,5.430117,21957.92969,35.706281
3263.041597,g,6751.75632,3.503572,21986.88867,35.746265
3263.062031,g,6727.057852,5.132468,22009.58398,35.74502
3263.082465,g,6729.935151,4.33504,21956.07422,35.713515
3263.102898,g,6697.830562,5.529087,21918.4375,35.670076
3263.123332,g,0,0,21903.71094,0
3263.143765,g,6721.868478,4.475688,21833.98828,35.632405
3263.164199,g,6751.179062,4.074659,21789.30859,35.622814
3263.184633,g,6741.582829,3.572196,21770.47656,35.605069
3263.205066,g,6736.362768,4.422926,21747.57422,35.587505
3263.2255,g,6694.872335,7.286698,21702.74023,35.533538
3263.245933,g,0,0,21691.87109,0
3263.266367,g,0,0,21681,0
3263.286801,g,6721.278147,6.496073,21670.12891,35.529655
3263.307234,g,6754.210508,6.165273,21641.15234,35.53213
3263.327668,g,6742.37957,5.265845,21647.16797,35.528491
3263.348101,g,6769.550599,4.73422,21620.4707,35.528788
3263.368535,g,6735.497,5.993068,21611.38281,35.501783
3263.388969,g,0,0,21604.78516,0
3263.409402,g,6739.185202,4.18994,21594.9043,35.493773
3263.429836,g,6766.328233,4.234165,21571.60156,35.496178
3263.45027,g,6715.573226,4.943137,21568.68359,35.462547
3263.470703,g,6728.363491,4.70132,21556.78906,35.463108
3263.491137,g,6718.327462,4.887295,21532.62305,35.441661
3263.51157,g,6688.076209,6.86486,21504.76953,35.405195
3263.532004,g,6709.632438,5.44163,21495.30664,35.412788
3263.552437,g,6701.047167,5.958422,21485.65234,35.401335
3263.572871,g,6739.136976,5.249799,21469.20117,35.414921
3263.593305,g,6734.105584,5.587364,21447.61719,35.39821
3263.613738,g,6737.924587,5.144814,21439.29102,35.395379
3263.634172,g,6749.964323,9.518195,21418.78711,35.390063
3263.654605,g,6757.590288,4.80227,21402.15234,35.384403
3263.675039,g,6755.078206,6.788643,21382.15039,35.370255
3263.695473,g,6739.630462,6.250541,21373.65039,35.3552
3263.715906,g,6758.791366,4.503461,21366.74414,35.362905
3263.73634,g,6732.597717,6.040556,21359.09766,35.341624
3263.756773,g,6732.649084,6.30647,21337.46094,35.328044
3263.777207,g,6755.437595,5.282761,21331.39844,35.338568
3263.797641,g,6748.081456,5.451033,21311.54102,35.321444
3263.818074,g,6738.491357,5.984654,21285.27148,35.298866
3263.838508,g,6730.82248,5.046062,21277.47266,35.289123
3263.858942,g,6660.374207,6.78563,21246.81641,35.225372
3263.879375,g,0,0,21248.98438,0
3263.899809,g,6755.622975,6.253739,21218.76172,35.267754
3263.920242,g,6708.865813,7.983043,21200.02148,35.226443
3263.940676,g,6738.79759,8.01162,21176.75195,35.230647
3263.96111,g,6762.68623,5.6005,21166.28125,35.239113
3263.981543,g,6737.545015,8.324441,21143.51367,35.208876
3264.001977,g,0,0,21140.95898,0
3264.02241,g,6699.317974,7.965697,21138.40625,35.181504
3264.042844,g,6714.907979,7.917016,21120.62305,35.180118
3264.063278,g,6668.588368,7.26834,21119.50391,35.150127
3264.083711,g,6664.391094,7.327855,21087.11133,35.126978
3264.104145,g,6586.678761,8.885396,21090.85742,35.080134
3264.124578,g,0,0,21111.83203,0
