@x1 2.0385496465
@c 0.739787387416
@z 0.0166206384437
@x0 0.0146184954131
@t0 58101.0038282
time band flux fluxerr zp zpsys
58098.0038282 smv 4520.37273439 120.449886845 25.0 ab
58098.0038282 smg 12068.120425 148.368242751 25.0 ab
58098.0038282 smr 20006.5467832 173.040174195 25.0 ab
58098.0038282 smi 16976.7793492 164.648597617 25.0 ab
58098.0038282 kst 16317.4759531 162.440626919 25.0 ab
58102.0038282 smv 4099.94207848 118.431231996 25.0 ab
58102.0038282 smg 12145.6440575 149.055345626 25.0 ab
58102.0038282 smr 21297.1578496 176.892074785 25.0 ab
58102.0038282 smi 14974.6797318 158.030122832 25.0 ab
58102.0038282 kst 16731.5223732 163.487357452 25.0 ab
58106.0038282 smv 3342.26121255 116.265724708 25.0 ab
58106.0038282 smg 11533.9289929 146.378533282 25.0 ab
58106.0038282 smr 20869.9198745 175.305544511 25.0 ab
58106.0038282 smi 13400.5654812 153.289596287 25.0 ab
58106.0038282 kst 16095.7325687 161.220657737 25.0 ab
58110.0038282 smv 2950.16489721 113.399585818 25.0 ab
58110.0038282 smg 10063.8929198 141.463882583 25.0 ab
58110.0038282 smr 17534.1930525 166.041134891 25.0 ab
58110.0038282 smi 10888.5420883 144.902141515 25.0 ab
58110.0038282 kst 13950.5434802 153.789650454 25.0 ab
58114.0038282 smv 2054.15546864 109.945393624 25.0 ab
58114.0038282 smg 7874.61983113 134.402597775 25.0 ab
58114.0038282 smr 13455.7934492 153.612180445 25.0 ab
58114.0038282 smi 8475.13541929 135.730826145 25.0 ab
58114.0038282 kst 10867.7698831 144.158285827 25.0 ab
58118.0038282 smv 1528.09285393 106.599556371 25.0 ab
58118.0038282 smg 6601.92540238 127.797667956 25.0 ab
58118.0038282 smr 11314.8635287 146.426213278 25.0 ab
58118.0038282 smi 6985.8481087 131.276265551 25.0 ab
58118.0038282 kst 9047.80659388 138.122550489 25.0 ab
58122.0038282 smv 947.371612499 104.263861015 25.0 ab
58122.0038282 smg 5259.84142215 122.776749211 25.0 ab
58122.0038282 smr 11258.4114796 145.485761194 25.0 ab
58122.0038282 smi 7400.95967156 131.75051983 25.0 ab
58122.0038282 kst 8502.34229378 136.367119234 25.0 ab
58126.0038282 smv 640.816681851 102.971364452 25.0 ab
58126.0038282 smg 3991.13158621 118.670203493 25.0 ab
58126.0038282 smr 11400.0730145 145.695413009 25.0 ab
58126.0038282 smi 8733.5329272 136.95008075 25.0 ab
58126.0038282 kst 8703.46318954 136.184449782 25.0 ab
58130.0038282 smv 372.880275681 102.070868972 25.0 ab
58130.0038282 smg 3562.11849881 115.798777716 25.0 ab
58130.0038282 smr 11209.9768414 145.403142202 25.0 ab
58130.0038282 smi 10581.8089788 143.097229845 25.0 ab
58130.0038282 kst 8744.03776658 136.441202593 25.0 ab
58134.0038282 smv 286.103079595 101.430871519 25.0 ab
58134.0038282 smg 2646.74919735 112.598326143 25.0 ab
58134.0038282 smr 9429.15556182 139.893649746 25.0 ab
58134.0038282 smi 10468.5236306 142.510889769 25.0 ab
58134.0038282 kst 7562.90691371 132.921131127 25.0 ab
58138.0038282 smv 324.96461099 101.235370348 25.0 ab
58138.0038282 smg 2132.74050509 110.091076905 25.0 ab
58138.0038282 smr 7641.34672435 133.383081879 25.0 ab
58138.0038282 smi 9006.52570672 137.389926967 25.0 ab
58138.0038282 kst 6403.00787043 127.773278052 25.0 ab
58142.0038282 smv 290.506471355 101.325124066 25.0 ab
58142.0038282 smg 1869.65538661 108.336164119 25.0 ab
58142.0038282 smr 6248.38742392 127.013237282 25.0 ab
58142.0038282 smi 6860.95356756 129.743515783 25.0 ab
58142.0038282 kst 5092.36319998 122.054934117 25.0 ab
