@x1 7.49803760458
@c -0.241470681238
@z 0.0221627541441
@x0 0.00818540013709
@t0 58101.0038282
time band flux fluxerr zp zpsys
58098.0038282 smv 7335.01639852 131.180931404 25.0 ab
58098.0038282 smg 4947.09120246 122.292684424 25.0 ab
58098.0038282 smr 2788.26374042 113.720293333 25.0 ab
58098.0038282 smi 1609.54752594 107.181056406 25.0 ab
58098.0038282 kst 3205.09848045 114.731916801 25.0 ab
58102.0038282 smv 4894.25361021 123.056996414 25.0 ab
58102.0038282 smg 4480.17049007 120.734168987 25.0 ab
58102.0038282 smr 3150.08008514 114.162591313 25.0 ab
58102.0038282 smi 1046.95225867 105.171013413 25.0 ab
58102.0038282 kst 3184.49027385 114.096586853 25.0 ab
58106.0038282 smv 5292.43732601 123.556867097 25.0 ab
58106.0038282 smg 4682.92420319 120.939991214 25.0 ab
58106.0038282 smr 3024.4996979 114.630414485 25.0 ab
58106.0038282 smi 1278.37906203 105.304275592 25.0 ab
58106.0038282 kst 3054.83606084 114.436821795 25.0 ab
58110.0038282 smv 4690.28326486 121.42553117 25.0 ab
58110.0038282 smg 5042.53249313 121.14829099 25.0 ab
58110.0038282 smr 3106.83927141 114.779620564 25.0 ab
58110.0038282 smi 1170.86994971 105.512446336 25.0 ab
58110.0038282 kst 3152.25004458 114.387836232 25.0 ab
58114.0038282 smv 3613.85367782 116.789286919 25.0 ab
58114.0038282 smg 3864.50856438 118.892349731 25.0 ab
58114.0038282 smr 2520.57067993 111.483390209 25.0 ab
58114.0038282 smi 604.314405226 103.421076911 25.0 ab
58114.0038282 kst 2431.22346419 111.906425225 25.0 ab
58118.0038282 smv 2495.18918958 112.00895033 25.0 ab
58118.0038282 smg 3427.54393334 115.86180867 25.0 ab
58118.0038282 smr 1827.11304961 108.522120287 25.0 ab
58118.0038282 smi 277.853358441 101.336145304 25.0 ab
58118.0038282 kst 2032.97634913 109.622107575 25.0 ab
58122.0038282 smv 1644.63696728 108.234015397 25.0 ab
58122.0038282 smg 2867.73478832 112.935990365 25.0 ab
58122.0038282 smr 1816.67624679 108.844072174 25.0 ab
58122.0038282 smi 33.770633655 100.774749564 25.0 ab
58122.0038282 kst 2010.6404055 108.852572774 25.0 ab
58126.0038282 smv 1160.43192474 105.671604692 25.0 ab
58126.0038282 smg 2201.27755481 110.243324238 25.0 ab
58126.0038282 smr 2413.17162721 110.552803036 25.0 ab
58126.0038282 smi 470.140550486 102.746672864 25.0 ab
58126.0038282 kst 1825.39107348 108.914782245 25.0 ab
58130.0038282 smv 715.048451999 103.81682384 25.0 ab
58130.0038282 smg 1807.7164146 108.884151027 25.0 ab
58130.0038282 smr 2599.59571356 112.446488642 25.0 ab
58130.0038282 smi 1232.63299559 106.603057082 25.0 ab
58130.0038282 kst 2123.79377104 109.979061766 25.0 ab
58134.0038282 smv 490.770218875 102.620083961 25.0 ab
58134.0038282 smg 1443.59994033 106.731809568 25.0 ab
58134.0038282 smr 2516.02255613 111.786039995 25.0 ab
58134.0038282 smi 1735.10279812 107.914998518 25.0 ab
58134.0038282 kst 1790.9628998 109.249654368 25.0 ab
58138.0038282 smv 575.258560803 102.365602292 25.0 ab
58138.0038282 smg 1235.23656834 105.060757773 25.0 ab
58138.0038282 smr 2104.07319904 109.874974301 25.0 ab
58138.0038282 smi 1552.80341686 107.287718787 25.0 ab
58138.0038282 kst 1620.40859888 107.66409533 25.0 ab
58142.0038282 smv 716.783679973 102.703494834 25.0 ab
58142.0038282 smg 870.18939242 104.012369019 25.0 ab
58142.0038282 smr 1487.64261249 107.389316845 25.0 ab
58142.0038282 smi 1088.82820777 105.500909696 25.0 ab
58142.0038282 kst 1125.32888065 105.728601108 25.0 ab
