@x1 -1.6559106047
@c 0.0398423443026
@z 0.0317425253441
@x0 0.00396014935108
@t0 58101.0038282
time band flux fluxerr zp zpsys
58098.0038282 smv 1391.40243344 106.437095141 25.0 ab
58098.0038282 smg 2092.49092408 110.819643565 25.0 ab
58098.0038282 smr 2108.08648251 110.456266321 25.0 ab
58098.0038282 smi 1599.38142782 107.255127023 25.0 ab
58098.0038282 kst 2076.33387566 109.65762297 25.0 ab
58102.0038282 smv 1210.64988594 107.03431701 25.0 ab
58102.0038282 smg 2428.69525942 111.566501487 25.0 ab
58102.0038282 smr 2529.28824435 111.364244345 25.0 ab
58102.0038282 smi 1502.65501561 107.097970813 25.0 ab
58102.0038282 kst 2106.17292713 110.224080158 25.0 ab
58106.0038282 smv 1113.43507828 105.185558542 25.0 ab
58106.0038282 smg 2187.39555314 110.126217498 25.0 ab
58106.0038282 smr 2212.35761614 110.617039721 25.0 ab
58106.0038282 smi 1193.5115214 106.24623481 25.0 ab
58106.0038282 kst 2011.77911718 109.255075083 25.0 ab
58110.0038282 smv 770.250898328 103.454940494 25.0 ab
58110.0038282 smg 1463.01762357 107.761927447 25.0 ab
58110.0038282 smr 1735.83587839 108.184765175 25.0 ab
58110.0038282 smi 727.216205149 104.566180574 25.0 ab
58110.0038282 kst 1644.76886576 107.194510866 25.0 ab
58114.0038282 smv 439.745080495 102.133958155 25.0 ab
58114.0038282 smg 1264.90352007 105.544394425 25.0 ab
58114.0038282 smr 1302.75478434 106.590970021 25.0 ab
58114.0038282 smi 696.842131444 103.869704309 25.0 ab
58114.0038282 kst 1318.94226618 105.670185927 25.0 ab
58118.0038282 smv 109.486491792 101.146597517 25.0 ab
58118.0038282 smg 733.119695598 103.795664496 25.0 ab
58118.0038282 smr 1147.59719731 106.019862444 25.0 ab
58118.0038282 smi 879.101298128 104.122094489 25.0 ab
58118.0038282 kst 924.261975842 104.814707046 25.0 ab
58122.0038282 smv 225.348140646 100.666355925 25.0 ab
58122.0038282 smg 335.790458191 102.663370392 25.0 ab
58122.0038282 smr 1079.77383854 105.522240085 25.0 ab
58122.0038282 smi 948.788136323 104.487510289 25.0 ab
58122.0038282 kst 826.746590817 104.219479563 25.0 ab
58126.0038282 smv 43.2252066324 100.511758738 25.0 ab
58126.0038282 smg 273.96437703 101.963373057 25.0 ab
58126.0038282 smr 981.706708146 104.673104019 25.0 ab
58126.0038282 smi 1051.40046423 104.310820349 25.0 ab
58126.0038282 kst 702.383443924 103.592069126 25.0 ab
58130.0038282 smv 89.1962943842 100.41182885 25.0 ab
58130.0038282 smg 224.545985526 101.412721612 25.0 ab
58130.0038282 smr 791.748758504 103.514366167 25.0 ab
58130.0038282 smi 525.188216716 103.388935679 25.0 ab
58130.0038282 kst 567.379592434 102.711652251 25.0 ab
58134.0038282 smv 6.92645316606 100.360467358 25.0 ab
58134.0038282 smg 160.086323592 101.160215103 25.0 ab
58134.0038282 smr 462.681931203 102.519111233 25.0 ab
58134.0038282 smi 612.724697541 102.467803431 25.0 ab
58134.0038282 kst 490.880010834 102.006025293 25.0 ab
58138.0038282 smv 2.82983061558 100.288994379 25.0 ab
58138.0038282 smg 167.830817301 101.025114292 25.0 ab
58138.0038282 smr 389.676129002 101.963450794 25.0 ab
58138.0038282 smi 211.902505909 101.853968234 25.0 ab
58138.0038282 kst 182.709285864 101.595210262 25.0 ab
58142.0038282 smv -21.8784105853 100.198777451 25.0 ab
58142.0038282 smg 244.622707711 100.942801493 25.0 ab
58142.0038282 smr 400.196373056 101.791374906 25.0 ab
58142.0038282 smi 350.360539374 101.535182749 25.0 ab
58142.0038282 kst 342.481226518 101.428776838 25.0 ab
