@x1 7.49803760458
@c -0.241470681238
@z 0.0221627541441
@x0 0.00818540013709
@t0 58101.0038282
time band flux fluxerr zp zpsys
58098.0038282 smv 7099.3736972 131.180931404 25.0 ab
58098.0038282 smg 4947.19812099 122.292684424 25.0 ab
58098.0038282 smr 2973.79927735 113.720293333 25.0 ab
58098.0038282 smi 1859.95975142 107.181056406 25.0 ab
58102.0038282 smv 5335.83345553 123.056996414 25.0 ab
58102.0038282 smg 4466.83749532 120.734168987 25.0 ab
58102.0038282 smr 2940.04113449 114.162591313 25.0 ab
58102.0038282 smi 1012.45010262 105.171013413 25.0 ab
58106.0038282 smv 5270.46108033 123.556867097 25.0 ab
58106.0038282 smg 4468.85893061 120.939991214 25.0 ab
58106.0038282 smr 3197.51205787 114.630414485 25.0 ab
58106.0038282 smi 1125.06559735 105.304275592 25.0 ab
58110.0038282 smv 4846.31208639 121.42553117 25.0 ab
58110.0038282 smg 4750.77513135 121.14829099 25.0 ab
58110.0038282 smr 3192.07291234 114.779620564 25.0 ab
58110.0038282 smi 1194.92227576 105.512446336 25.0 ab
58114.0038282 smv 3582.81966252 116.789286919 25.0 ab
58114.0038282 smg 4281.23900539 118.892349731 25.0 ab
58114.0038282 smr 2416.6072255 111.483390209 25.0 ab
58114.0038282 smi 806.012237097 103.421076911 25.0 ab
58118.0038282 smv 2475.23207625 112.00895033 25.0 ab
58118.0038282 smg 3492.53146571 115.86180867 25.0 ab
58118.0038282 smr 1625.80152984 108.522120287 25.0 ab
58118.0038282 smi 308.61217289 101.336145304 25.0 ab
58122.0038282 smv 1799.87890519 108.234015397 25.0 ab
58122.0038282 smg 2833.43827392 112.935990365 25.0 ab
58122.0038282 smr 1703.00214358 108.844072174 25.0 ab
58122.0038282 smi 25.9563034943 100.774749564 25.0 ab
58126.0038282 smv 1197.12897487 105.671604692 25.0 ab
58126.0038282 smg 1996.56055413 110.243324238 25.0 ab
58126.0038282 smr 2255.33806679 110.552803036 25.0 ab
58126.0038282 smi 481.411781007 102.746672864 25.0 ab
58130.0038282 smv 575.656950488 103.81682384 25.0 ab
58130.0038282 smg 1847.81015699 108.884151027 25.0 ab
58130.0038282 smr 2835.13195426 112.446488642 25.0 ab
58130.0038282 smi 1403.50852953 106.603057082 25.0 ab
58134.0038282 smv 372.568897756 102.620083961 25.0 ab
58134.0038282 smg 1225.5797708 106.731809568 25.0 ab
58134.0038282 smr 2451.81237369 111.786039995 25.0 ab
58134.0038282 smi 1620.32116412 107.914998518 25.0 ab
58138.0038282 smv 496.374613226 102.365602292 25.0 ab
58138.0038282 smg 1038.57779509 105.060757773 25.0 ab
58138.0038282 smr 2110.83741491 109.874974301 25.0 ab
58138.0038282 smi 1329.67423412 107.287718787 25.0 ab
58142.0038282 smv 510.377827371 102.703494834 25.0 ab
58142.0038282 smg 805.237214916 104.012369019 25.0 ab
58142.0038282 smr 1511.45082579 107.389316845 25.0 ab
58142.0038282 smi 1293.53133512 105.500909696 25.0 ab
