@x1 -3.88007936201
@c 0.25900989566
@z 0.0517985249714
@x0 0.00146388189025
@t0 58101.0038282
time band flux fluxerr zp zpsys
58098.0038282 smv 280.434732873 101.328593943 25.0 ab
58098.0038282 smg 828.23875785 104.305994399 25.0 ab
58098.0038282 smr 1132.50940216 105.341036438 25.0 ab
58098.0038282 smi 1106.38819426 104.749894379 25.0 ab
58102.0038282 smv 447.922949587 101.874246175 25.0 ab
58102.0038282 smg 1095.4415359 104.75801029 25.0 ab
58102.0038282 smr 1329.20396198 105.971195381 25.0 ab
58102.0038282 smi 859.417790671 104.748947578 25.0 ab
58106.0038282 smv -22.5413492407 101.051164515 25.0 ab
58106.0038282 smg 721.533164449 103.983115031 25.0 ab
58106.0038282 smr 1101.96580913 105.532210536 25.0 ab
58106.0038282 smi 712.681441271 104.143542191 25.0 ab
58110.0038282 smv 164.463102406 100.460839915 25.0 ab
58110.0038282 smg 542.206681477 102.749641585 25.0 ab
58110.0038282 smr 902.013907975 104.061945754 25.0 ab
58110.0038282 smi 670.051233728 102.715553283 25.0 ab
58114.0038282 smv 5.47184571005 100.236959496 25.0 ab
58114.0038282 smg 365.6493167 101.716889541 25.0 ab
58114.0038282 smr 680.442739312 103.246469033 25.0 ab
58114.0038282 smi 265.388949977 102.317725078 25.0 ab
58118.0038282 smv 107.009735981 100.089807594 25.0 ab
58118.0038282 smg 308.224568808 100.987814033 25.0 ab
58118.0038282 smr 632.647014915 103.090700877 25.0 ab
58118.0038282 smi 597.53757198 102.861463783 25.0 ab
58122.0038282 smv -84.6126439431 100.03459537 25.0 ab
58122.0038282 smg -121.628985578 100.551404062 25.0 ab
58122.0038282 smr 522.046831439 102.663828312 25.0 ab
58122.0038282 smi 558.259045154 103.114474712 25.0 ab
58126.0038282 smv 89.5368807933 100.004099364 25.0 ab
58126.0038282 smg 13.5241808342 100.397914798 25.0 ab
58126.0038282 smr 287.116204904 101.982176691 25.0 ab
58126.0038282 smi 559.30488131 102.839068892 25.0 ab
58130.0038282 smv -90.7778283001 100.034953003 25.0 ab
58130.0038282 smg 171.688207435 100.197859094 25.0 ab
58130.0038282 smr 146.654251256 101.076618573 25.0 ab
58130.0038282 smi 426.319126707 101.788781476 25.0 ab
58134.0038282 smv 42.8744264091 100.00263488 25.0 ab
58134.0038282 smg 36.0726457323 100.184849516 25.0 ab
58134.0038282 smr 144.133630786 100.565069369 25.0 ab
58134.0038282 smi 148.472559419 100.904115926 25.0 ab
58138.0038282 smv -2.49224553779 100.023814784 25.0 ab
58138.0038282 smg 94.7482600011 100.218643458 25.0 ab
58138.0038282 smr 19.8704588187 100.388866868 25.0 ab
58138.0038282 smi 131.489859328 100.444152741 25.0 ab
58142.0038282 smv 83.836752332 100.016304354 25.0 ab
58142.0038282 smg 64.9913077487 100.236644783 25.0 ab
58142.0038282 smr 62.832537041 100.461017209 25.0 ab
58142.0038282 smi 94.0375933606 100.414775023 25.0 ab
