@x1 -3.43294386049
@c 0.200777693405
@z 0.086477490335
@x0 0.000511222578711
@t0 57966.7032783
time band flux fluxerr zp zpsys
57961.7032783 smv 310.257451002 100.504146294 25.0 ab
57961.7032783 smg 353.878493863 101.27543652 25.0 ab
57961.7032783 smr 113.051459899 101.49070358 25.0 ab
57961.7032783 smi 371.922325813 101.598502998 25.0 ab
57961.7032783 kst 414.736884966 101.428801682 25.0 ab
57965.7032783 smv 117.67831718 100.699745608 25.0 ab
57965.7032783 smg 523.029470421 101.665725143 25.0 ab
57965.7032783 smr 419.396691949 101.937137441 25.0 ab
57965.7032783 smi 291.864967489 101.755761292 25.0 ab
57965.7032783 kst 171.39870345 101.781132369 25.0 ab
57969.7032783 smv 58.1287153361 100.525629955 25.0 ab
57969.7032783 smg 325.362364034 101.551560592 25.0 ab
57969.7032783 smr 281.140763196 101.990388582 25.0 ab
57969.7032783 smi 526.23229301 101.564941766 25.0 ab
57969.7032783 kst 218.368933403 101.731523702 25.0 ab
57973.7032783 smv 113.697062596 100.250222051 25.0 ab
57973.7032783 smg -31.6990219915 101.172355708 25.0 ab
57973.7032783 smr 201.249290537 101.698816315 25.0 ab
57973.7032783 smi 376.478139255 101.288717368 25.0 ab
57973.7032783 kst 275.197130415 101.407668371 25.0 ab
57977.7032783 smv 12.5488386563 100.090364405 25.0 ab
57977.7032783 smg 172.202098152 100.750038748 25.0 ab
57977.7032783 smr 267.616174684 101.24392335 25.0 ab
57977.7032783 smi 59.6112653943 100.85675807 25.0 ab
57977.7032783 kst 160.515108973 100.98062007 25.0 ab
57981.7032783 smv -32.9168590892 100.054703173 25.0 ab
57981.7032783 smg 207.063511499 100.446994085 25.0 ab
57981.7032783 smr 291.615954953 101.065521274 25.0 ab
57981.7032783 smi 83.4036831298 100.935897648 25.0 ab
57981.7032783 kst 241.309967631 100.809518946 25.0 ab
57985.7032783 smv 170.762612073 100.009674049 25.0 ab
57985.7032783 smg 186.096865989 100.241070491 25.0 ab
57985.7032783 smr 28.0056320916 100.905579353 25.0 ab
57985.7032783 smi 204.648339961 101.02649989 25.0 ab
57985.7032783 kst -78.5285490148 100.691503219 25.0 ab
57989.7032783 smv 94.8104330681 100.018312073 25.0 ab
57989.7032783 smg 156.749185922 100.158648464 25.0 ab
57989.7032783 smr 138.609259843 100.721472971 25.0 ab
57989.7032783 smi 27.7885178228 101.071696337 25.0 ab
57989.7032783 kst 48.1581314015 100.606008214 25.0 ab
57993.7032783 smv 15.5730967427 100.000580746 25.0 ab
57993.7032783 smg -77.2963714096 100.109255599 25.0 ab
57993.7032783 smr -0.166612307351 100.489173176 25.0 ab
57993.7032783 smi 28.8291968951 100.880512186 25.0 ab
57993.7032783 kst -14.2969835543 100.45342973 25.0 ab
57997.7032783 smv 30.513909416 100.010392262 25.0 ab
57997.7032783 smg 2.65190850611 100.067284123 25.0 ab
57997.7032783 smr 281.474854616 100.286439573 25.0 ab
57997.7032783 smi 85.5074507674 100.544082315 25.0 ab
57997.7032783 kst 151.658294411 100.272952332 25.0 ab
58001.7032783 smv -14.9034294774 100.012243074 25.0 ab
58001.7032783 smg 15.4899938907 100.071729598 25.0 ab
58001.7032783 smr 84.583384589 100.198491733 25.0 ab
58001.7032783 smi 152.134753053 100.302394278 25.0 ab
58001.7032783 kst 227.351735011 100.171562405 25.0 ab
58005.7032783 smv -89.780315857 100.007015709 25.0 ab
58005.7032783 smg -10.8163344641 100.077437319 25.0 ab
58005.7032783 smr 179.708898453 100.174406666 25.0 ab
58005.7032783 smi -15.5937123029 100.195104605 25.0 ab
58005.7032783 kst -20.7195286037 100.134462319 25.0 ab
58009.7032783 smv 16.9543914916 100.025578237 25.0 ab
58009.7032783 smg 174.843537923 100.077032993 25.0 ab
58009.7032783 smr 100.206715717 100.188605112 25.0 ab
58009.7032783 smi 111.553756586 100.191881494 25.0 ab
58009.7032783 kst 203.227605803 100.141566341 25.0 ab
58013.7032783 smv -43.3314736123 100.032193219 25.0 ab
58013.7032783 smg -77.0854789631 100.071667796 25.0 ab
58013.7032783 smr -22.3692057454 100.193541753 25.0 ab
58013.7032783 smi -46.9538552455 100.185978875 25.0 ab
58013.7032783 kst 109.496896779 100.141595678 25.0 ab
