SN1: c:-0.0989423643358 t0:57879.3896141 x0:0.0994192194269 x1:-4.01278679146 z:0.0499808216308 
SN2: c:-0.12669644072 t0:57879.7734712 x0:0.0116058514409 x1:-4.77380057614 z:0.0306171300679 
SN3: c:0.208191621216 t0:57879.2194483 x0:0.0126862693435 x1:-1.86215734747 z:0.0505298238212 
SN4: c:0.0773885311667 t0:57879.2033761 x0:0.0383450764822 x1:0.236503853586 z:0.037329691538 
SN5: c:0.0153662912577 t0:57878.8839992 x0:0.383580356647 x1:1.94198028929 z:0.0504289938691 
SN6: c:-0.126088736283 t0:57879.1210861 x0:0.00886253936428 x1:0.935432773846 z:0.0410197209074 
SN7: c:-0.257421060567 t0:57878.3190652 x0:0.0222999418003 x1:5.76645143918 z:0.0400539361325 
SN8: c:-0.121354733646 t0:57879.1776193 x0:0.0481011253942 x1:-0.627950166509 z:0.0262453627797 
SN9: c:0.0500436712591 t0:57878.8840185 x0:0.00626288184083 x1:1.23374558536 z:0.0445701405527 
SN10: c:0.049737184845 t0:57879.3180198 x0:0.00101559084849 x1:-1.13995782804 z:0.0544208067165 
SN11: c:0.0661178856475 t0:57878.3673969 x0:0.00214762618667 x1:6.01251142541 z:0.068086793547 
SN12: c:-0.508185962071 t0:57878.4984707 x0:0.00460288592627 x1:5.99551729441 z:0.0415751469044 
SN13: c:0.146697890096 t0:57879.111093 x0:0.00369455472322 x1:0.102435361641 z:0.0404147934012 
SN14: c:0.17179261483 t0:57878.7799321 x0:0.00454053595022 x1:-1.80846229633 z:0.037488923058 
SN15: c:0.0392824501077 t0:57878.9160298 x0:0.0254144900743 x1:-5.01808040664 z:0.0496796745542 
SN16: c:0.238869520721 t0:57877.2364038 x0:0.437015449107 x1:2.29168765336 z:0.0504861002329 
SN17: c:-0.306625995335 t0:57878.1650242 x0:0.0017601885946 x1:3.88760167254 z:0.0335668082119 
SN18: c:-0.177542313455 t0:57878.6545527 x0:0.00490931776946 x1:-2.80851166475 z:0.0429943476664 
SN19: c:0.130217331953 t0:57879.0770208 x0:0.00608787519692 x1:2.22919460136 z:0.0391415754108 
SN20: c:0.00597131821618 t0:57876.9566771 x0:0.00125122134842 x1:3.69662998944 z:0.0474005913144 
SN21: c:-0.0925947095988 t0:57879.09774 x0:0.0426224744093 x1:1.54318168288 z:0.0309673904246 
SN22: c:-0.250611512669 t0:57879.503986 x0:0.00258133585201 x1:-3.6798491871 z:0.0380472535306 
SN23: c:-0.135100543824 t0:57876.9728946 x0:0.000858604963691 x1:2.15721333009 z:0.0536595973429 
SN24: c:-0.38851865375 t0:57879.2516931 x0:0.00422155330079 x1:-3.66801916896 z:0.0432237323759 
SN25: c:-0.122483876898 t0:57878.9681544 x0:0.00618299135285 x1:5.40591775025 z:0.0396927345277 
SN26: c:-0.35711284748 t0:57879.1198489 x0:0.000954373775422 x1:-0.799167656922 z:0.0410262361247 
SN27: c:-0.0443581958943 t0:57879.2821221 x0:0.226149950708 x1:1.92289770673 z:0.050156367707 
SN28: c:0.0147440912968 t0:57884.6006229 x0:0.000628818257394 x1:-1.18327747767 z:0.0444407266764 
SN29: c:0.438043640987 t0:57878.2457526 x0:0.000557613043141 x1:3.29049235475 z:0.0444554534206 
SN30: c:-0.173572201223 t0:57877.9922316 x0:0.000708160011744 x1:-0.160806772247 z:0.0650173395019 
SN31: c:-0.069849334669 t0:57880.4887401 x0:0.000517892060447 x1:7.20658974883 z:0.0557001893418 
SN32: c:-0.142121426613 t0:57878.9118867 x0:0.000660008341417 x1:0.374010187122 z:0.0502623651118 
SN33: c:-0.42467556262 t0:57879.4028112 x0:0.015140181179 x1:-2.33824627203 z:0.0495404955924 
SN34: c:-0.163776048443 t0:57872.6764344 x0:0.000438294807385 x1:6.63900029402 z:0.0502934956834 
SN35: c:-0.154673763973 t0:57880.1491848 x0:0.000999569269843 x1:-3.2707508669 z:0.0425872959983 
SN36: c:0.0844800498489 t0:57879.1462357 x0:0.00239972487672 x1:0.432773233378 z:0.0400558908446 
SN37: c:0.0560651963491 t0:57878.8835053 x0:0.000771911145555 x1:-1.51154643005 z:0.0481170106106 
SN38: c:0.221880680102 t0:57877.3823403 x0:0.000793944349699 x1:2.59086678323 z:0.0651787675057 
SN39: c:0.184550819004 t0:57879.4213002 x0:0.000914998526577 x1:-2.83722447214 z:0.0684840736699 
SN40: c:-0.0553719585416 t0:57863.5293047 x0:0.00130705909225 x1:0.824881440933 z:0.0465692383923 
SN41: c:-0.00308210934706 t0:57878.2299084 x0:0.00151374578116 x1:-1.89462867641 z:0.0320142495841 
SN42: c:-0.683201569431 t0:57878.3987131 x0:0.000788618282536 x1:-1.4673021194 z:0.047499801178 
SN43: c:0.00744618422521 t0:57877.3827138 x0:0.000978071311477 x1:2.68073390028 z:0.0513436357789 
SN44: c:-0.0133120304483 t0:57878.8864172 x0:0.000802481962211 x1:4.13827435641 z:0.0590345261743 
SN45: c:-0.135617714859 t0:57879.0005015 x0:0.0163682860941 x1:0.809959472708 z:0.0273403186257 
SN46: c:-0.192088986516 t0:57878.9135958 x0:0.0233591425072 x1:-4.3381445597 z:0.0390187482704 
SN47: c:0.217595068489 t0:57865.3792295 x0:0.000285383376948 x1:13.104492571 z:0.0500104355302 
SN48: c:-0.464583688036 t0:57879.1765312 x0:0.00218070603355 x1:-0.0636643476157 z:0.0530175027968 
SN49: c:-0.384573201507 t0:57876.686143 x0:0.000366794005483 x1:6.74663861317 z:0.0545934933962 
SN50: c:-0.148432550318 t0:57871.1111897 x0:0.000692098055302 x1:1.05328291459 z:0.0434627607519 
