@x1 -1.35410623545
@c -0.0940311461647
@z 0.0507158617595
@x0 0.00152834641808
@t0 57878.9920709
time band flux fluxerr zp zpsys
57872.9920709 smv 346.119175049 102.057406512 25.0 ab
57872.9920709 smg 610.397328064 103.423687272 25.0 ab
57872.9920709 smr 516.656547714 102.930292959 25.0 ab
57872.9920709 smi 368.808890676 102.238531105 25.0 ab
57872.9920709 kst 734.655657431 102.854198283 25.0 ab
57876.9920709 smv 450.313792053 103.11638439 25.0 ab
57876.9920709 smg 1016.74164389 104.474944826 25.0 ab
57876.9920709 smr 971.27623657 103.732339515 25.0 ab
57876.9920709 smi 467.02263865 102.472412768 25.0 ab
57876.9920709 kst 949.079550045 103.594576228 25.0 ab
57880.9920709 smv 531.345454668 102.95611811 25.0 ab
57880.9920709 smg 721.468049611 104.454044625 25.0 ab
57880.9920709 smr 762.420471249 103.931974211 25.0 ab
57880.9920709 smi 481.771263586 102.335775994 25.0 ab
57880.9920709 kst 866.512816924 103.645999848 25.0 ab
57884.9920709 smv 294.74081518 101.972257196 25.0 ab
57884.9920709 smg 680.3196928 103.735420466 25.0 ab
57884.9920709 smr 571.263726672 103.582167731 25.0 ab
57884.9920709 smi 367.956452786 102.028365999 25.0 ab
57884.9920709 kst 647.050986286 103.190023841 25.0 ab
57888.9920709 smv 280.790841705 101.265293075 25.0 ab
57888.9920709 smg 590.323565229 102.784060054 25.0 ab
57888.9920709 smr 513.014077089 102.773792044 25.0 ab
57888.9920709 smi 265.422252413 101.436422292 25.0 ab
57888.9920709 kst 519.617735662 102.439328933 25.0 ab
57892.9920709 smv 220.778935918 100.780688261 25.0 ab
57892.9920709 smg 158.632240261 101.945750994 25.0 ab
57892.9920709 smr 420.86651867 102.316884149 25.0 ab
57892.9920709 smi 231.222351015 101.290280129 25.0 ab
57892.9920709 kst 296.279032074 101.932207869 25.0 ab
57896.9920709 smv -27.5536313233 100.431367492 25.0 ab
57896.9920709 smg 154.154797643 101.312864329 25.0 ab
57896.9920709 smr 356.266292866 102.08075058 25.0 ab
57896.9920709 smi 307.883485265 101.375600119 25.0 ab
57896.9920709 kst 364.265227073 101.60845887 25.0 ab
57900.9920709 smv -28.5701557576 100.254817831 25.0 ab
57900.9920709 smg 197.330624524 100.927638991 25.0 ab
57900.9920709 smr 308.552190524 101.85914397 25.0 ab
57900.9920709 smi 248.613972129 101.458641218 25.0 ab
57900.9920709 kst 263.692106699 101.397238799 25.0 ab
57904.9920709 smv -8.87057221679 100.202032735 25.0 ab
57904.9920709 smg 29.2986441479 100.678846115 25.0 ab
57904.9920709 smr 451.482398004 101.53756359 25.0 ab
57904.9920709 smi 315.641711197 101.359389938 25.0 ab
57904.9920709 kst 273.117400001 101.163335204 25.0 ab
57908.9920709 smv -13.062873076 100.165984635 25.0 ab
57908.9920709 smg -5.95997326015 100.5025239 25.0 ab
57908.9920709 smr 193.737112606 101.182671517 25.0 ab
57908.9920709 smi 222.692355113 101.100600752 25.0 ab
57908.9920709 kst 316.165706482 100.895286039 25.0 ab
