@x1 5.3719957748
@c 0.376210444953
@z 0.0838262629288
@x0 0.000545188593577
@t0 57878.9920709
time band flux fluxerr zp zpsys
57872.9920709 smv 239.733844077 101.129127514 25.0 ab
57872.9920709 smg 184.069221994 102.036673372 25.0 ab
57872.9920709 smr 492.416022272 102.486312303 25.0 ab
57872.9920709 smi 332.605470592 101.812621937 25.0 ab
57876.9920709 smv 269.86635186 100.945222772 25.0 ab
57876.9920709 smg 524.086450524 101.921501944 25.0 ab
57876.9920709 smr 575.949803067 102.501450965 25.0 ab
57876.9920709 smi 303.35171639 101.370326459 25.0 ab
57880.9920709 smv 338.945051792 100.771108714 25.0 ab
57880.9920709 smg 408.635782085 101.849619797 25.0 ab
57880.9920709 smr 452.980572249 102.502398277 25.0 ab
57880.9920709 smi 330.003449066 101.50299934 25.0 ab
57884.9920709 smv 111.755969939 100.725202542 25.0 ab
57884.9920709 smg 505.658140633 101.800987721 25.0 ab
57884.9920709 smr 434.530050922 102.490734633 25.0 ab
57884.9920709 smi 241.512055813 101.572654753 25.0 ab
57888.9920709 smv 116.92896341 100.603901029 25.0 ab
57888.9920709 smg 380.550338385 101.710122219 25.0 ab
57888.9920709 smr 430.459127734 102.402914358 25.0 ab
57888.9920709 smi 409.11600105 101.550757842 25.0 ab
57892.9920709 smv 160.417588429 100.389011798 25.0 ab
57892.9920709 smg 325.398322234 101.455642839 25.0 ab
57892.9920709 smr 371.161486793 101.959118494 25.0 ab
57892.9920709 smi 359.500655248 100.985066651 25.0 ab
57896.9920709 smv 189.126289011 100.250578057 25.0 ab
57896.9920709 smg 282.643534958 101.180707396 25.0 ab
57896.9920709 smr 494.699659325 101.610393561 25.0 ab
57896.9920709 smi 114.270342297 100.600930975 25.0 ab
57900.9920709 smv 109.000659314 100.218978976 25.0 ab
57900.9920709 smg 128.351755753 100.922465131 25.0 ab
57900.9920709 smr 411.75979653 101.576132611 25.0 ab
57900.9920709 smi 131.005757495 100.649590168 25.0 ab
57904.9920709 smv -132.044580441 100.14669204 25.0 ab
57904.9920709 smg 207.460477814 100.680045716 25.0 ab
57904.9920709 smr 346.830344167 101.628791369 25.0 ab
57904.9920709 smi 323.904434547 100.916575826 25.0 ab
57908.9920709 smv -61.7738761226 100.083796141 25.0 ab
57908.9920709 smg 92.654154592 100.569290393 25.0 ab
57908.9920709 smr 188.167274431 101.692302869 25.0 ab
57908.9920709 smi 459.331217555 101.534211223 25.0 ab
