@x1 -0.801904920396
@c -0.158700710874
@z 0.0994053790804
@x0 0.000383059105041
@t0 57878.9920709
time band flux fluxerr zp zpsys
57872.9920709 smv 156.04649105 100.866659923 25.0 ab
57872.9920709 smg 235.86416256 100.984767291 25.0 ab
57872.9920709 smr 27.9745526389 100.767222235 25.0 ab
57872.9920709 smi 333.022193644 100.616729115 25.0 ab
57876.9920709 smv 93.4678830372 100.955146464 25.0 ab
57876.9920709 smg 176.375346794 101.211084802 25.0 ab
57876.9920709 smr -51.3899034817 100.960264405 25.0 ab
57876.9920709 smi 282.646841342 100.671591001 25.0 ab
57880.9920709 smv 113.530175333 100.757912092 25.0 ab
57880.9920709 smg 16.8475563301 101.185441646 25.0 ab
57880.9920709 smr 184.477365492 101.011334794 25.0 ab
57880.9920709 smi 230.142672731 100.645184321 25.0 ab
57884.9920709 smv 250.725532382 100.508082325 25.0 ab
57884.9920709 smg 274.065751738 100.994655542 25.0 ab
57884.9920709 smr 92.2725511515 100.934808738 25.0 ab
57884.9920709 smi 234.270352707 100.586330932 25.0 ab
57888.9920709 smv 156.398404011 100.310322797 25.0 ab
57888.9920709 smg 199.58564298 100.750929122 25.0 ab
57888.9920709 smr 15.1089986211 100.766465 25.0 ab
57888.9920709 smi 64.2778237382 100.441832405 25.0 ab
57892.9920709 smv 138.515796763 100.182563016 25.0 ab
57892.9920709 smg 233.236327711 100.528230071 25.0 ab
57892.9920709 smr 202.55416884 100.622973799 25.0 ab
57892.9920709 smi -28.795129774 100.374030309 25.0 ab
57896.9920709 smv -157.511711956 100.107205155 25.0 ab
57896.9920709 smg 172.055335547 100.354836042 25.0 ab
57896.9920709 smr 255.841303363 100.518634275 25.0 ab
57896.9920709 smi 168.370096311 100.371895155 25.0 ab
57900.9920709 smv -50.7976279178 100.066237568 25.0 ab
57900.9920709 smg -130.399100674 100.246288053 25.0 ab
57900.9920709 smr -5.98174387029 100.439750576 25.0 ab
57900.9920709 smi 161.176729143 100.384688601 25.0 ab
57904.9920709 smv -10.8247422339 100.044160841 25.0 ab
57904.9920709 smg -44.9089022447 100.180954374 25.0 ab
57904.9920709 smr 78.7925809798 100.368077142 25.0 ab
57904.9920709 smi 28.7056585847 100.378217349 25.0 ab
57908.9920709 smv -44.1227186368 100.036225639 25.0 ab
57908.9920709 smg 169.200167577 100.134969198 25.0 ab
57908.9920709 smr 96.9966827313 100.296247863 25.0 ab
57908.9920709 smi -33.5795150898 100.3266686 25.0 ab
