@c -0.210156487654
@x1 2.3502160856
@x0 0.0212180936143
@z 0.0138111855205
@t0 57865.7291026
time band flux fluxerr zp zpsys
57851.7291026 smg 18508.4573123 596.750255258 26.8953204468 ab
57855.7291026 smg 23018.999367 601.40295001 26.2444621239 ab
57859.7291026 smg 55056.3813735 627.385029053 26.7819045953 ab
57863.7291026 smg 21717.0859755 599.176607748 25.6294750473 ab
57867.7291026 smg 93465.0830418 656.935421013 27.2674199281 ab
57871.7291026 smg 38612.9978745 613.687505566 26.4020825994 ab
57875.7291026 smg 36621.8781884 611.895338701 26.5014538171 ab
57879.7291026 smg 51837.9709496 624.58381583 27.1586090885 ab
57883.7291026 smg 30111.0194119 605.880604738 26.7922202765 ab
57887.7291026 smg 38893.6720153 613.386216396 27.3878332672 ab
57851.7292415 smr 3313.21731476 64.3280068238 25.3631061434 ab
57855.7292415 smr 29341.8081178 174.747175462 26.9139987308 ab
57859.7292415 smr 36759.9874244 194.830848978 26.7808774473 ab
57863.7292415 smr 52198.6162272 230.508683564 27.0234642705 ab
57867.7292415 smr 11927.689479 113.093524863 25.3632505677 ab
57871.7292415 smr 16284.8595251 131.384465631 25.7729252743 ab
57875.7292415 smr 10325.6782464 106.226674226 25.4723388953 ab
57879.7292415 smr 36053.8414428 192.549630561 27.1320984147 ab
57883.7292415 smr 60600.0583755 247.30578396 27.8209989994 ab
57887.7292415 smr 25335.0325306 161.968382807 26.9075514678 ab
57851.7293803 smi 2108.86431932 389.583579643 24.9972648344 ab
57855.7293803 smi 3132.02799099 392.784531226 25.0694931206 ab
57859.7293803 smi 4074.45851787 392.40961275 24.732014683 ab
57863.7293803 smi 7159.03596329 397.232921992 25.536690158 ab
57867.7293803 smi 4896.05390152 394.328408413 25.2952670352 ab
57871.7293803 smi 3980.00162149 393.985487622 25.3347113102 ab
57875.7293803 smi 4253.4118255 393.523367644 25.4804618168 ab
57879.7293803 smi 5252.53972717 394.989991225 26.0573971192 ab
57883.7293803 smi 2631.05865443 390.903294148 25.226895583 ab
57887.7293803 smi 936.515023442 390.177408737 24.8910816437 ab
57851.7295192 kst 3658.94326171 60.2075767503 25.47 ab
57855.7295192 kst 8334.1625989 91.4580779893 25.47 ab
57859.7295192 kst 11613.9468076 108.249517855 25.47 ab
57863.7295192 kst 12676.2765958 112.434249236 25.47 ab
57867.7295192 kst 12731.5891856 112.675712277 25.47 ab
57871.7295192 kst 11783.9154497 108.830109361 25.47 ab
57875.7295192 kst 10080.0387969 100.269986273 25.47 ab
57879.7295192 kst 7856.02454127 88.6314986995 25.47 ab
57883.7295192 kst 6733.00437444 81.9947923983 25.47 ab
57887.7295192 kst 6103.87586636 77.2191642741 25.47 ab
