@c 0.497144049723
@x1 -1.28211318829
@x0 0.249463765316
@z 0.00404362772974
@t0 57924.1317416
time band flux fluxerr zp zpsys
57916.1317416 smg 70617.7836269 543.853154771 24.6673313447 ab
57920.1317416 smg 1268589.14935 1222.99083523 27.2417857301 ab
57924.1317416 smg 1046987.21024 1128.71004592 26.8700313254 ab
57928.1317416 smg 707532.578215 965.611844761 26.5229205185 ab
57932.1317416 smg 602781.744041 909.881787855 26.584521311 ab
57936.1317416 smg 337935.947336 750.787068424 26.2797958214 ab
57940.1317416 smg 114676.538562 582.823601205 25.4501767691 ab
57944.1317416 smg 164029.248727 624.617111873 26.1789441432 ab
57948.1317416 smg 98067.2326396 569.113456813 25.925024571 ab
57952.1317416 smg 165031.384678 625.01022264 26.8153944504 ab
57956.1317416 smg 131253.926521 597.411778969 26.8237889292 ab
57960.1317416 smg 33690.9150217 509.573351719 25.5392110902 ab
57964.1317416 smg 125406.074068 593.039955665 27.0764399516 ab
57968.1317416 smg 105029.034075 574.801697038 26.9862305376 ab
57972.1317416 smg 54692.5844058 529.499374212 26.3998966021 ab
57976.1317416 smg 132218.853726 598.525613103 27.4252486261 ab
57916.1318804 smr 371971.236192 651.659357731 25.9636976635 ab
57920.1318804 smr 613056.192987 816.313549179 26.018126332 ab
57924.1318804 smr 2222253.52111 1508.59557656 27.2880167084 ab
57928.1318804 smr 1333835.42016 1178.2679275 26.7857257826 ab
57932.1318804 smr 1668534.54696 1312.77294091 27.2919424225 ab
57936.1318804 smr 815528.40911 932.3170091 26.8095677766 ab
57940.1318804 smr 546366.061474 774.319112126 26.5000537738 ab
57944.1318804 smr 539659.673326 769.887244856 26.5701920238 ab
57948.1318804 smr 304277.298534 598.477528827 26.0782569217 ab
57952.1318804 smr 209915.148252 512.713430247 25.947964155 ab
57956.1318804 smr 315600.843641 607.014748143 26.7505795283 ab
57960.1318804 smr 149607.446046 450.504608971 26.2346909795 ab
57964.1318804 smr 377294.511205 656.232205862 27.3691071921 ab
57968.1318804 smr 267742.023942 566.048975937 27.1121492054 ab
57972.1318804 smr 201281.596359 503.50412674 26.9408262677 ab
57976.1318804 smr 351389.915492 635.210526651 27.6280972582 ab
57916.1320193 smi 242924.739454 599.668829532 25.6027143411 ab
57920.1320193 smi 809319.985839 961.261608863 26.532549097 ab
57924.1320193 smi 121791.564074 488.469669602 24.5229059846 ab
57928.1320193 smi 1080425.01001 1093.98040395 27.0275687749 ab
57932.1320193 smi 138986.121648 504.929028703 25.0768055257 ab
57936.1320193 smi 545054.692108 814.090723929 26.8001618782 ab
57940.1320193 smi 117066.858692 482.962973709 25.0843189508 ab
57944.1320193 smi 108743.141202 475.378180131 24.932458617 ab
57948.1320193 smi 331691.452247 669.435434631 26.1175773318 ab
57952.1320193 smi 129521.375716 496.57982246 25.3053704131 ab
57956.1320193 smi 63610.5428953 424.945373843 24.8227708481 ab
57960.1320193 smi 75101.3628466 438.66822996 25.2913247811 ab
57964.1320193 smi 298092.85162 643.753878425 27.0115991609 ab
57968.1320193 smi 53613.8798502 412.865642047 25.3479030244 ab
57972.1320193 smi 82264.2667397 445.71433573 25.9643513753 ab
57976.1320193 smi 57824.1604825 417.583019236 25.6513815249 ab
57916.1321582 smv 68475.1329509 303.269650172 25.3779358961 ab
57920.1321582 smv 41484.5098499 255.420013705 24.2926758819 ab
57924.1321582 smv 45597.1611717 262.88359534 24.3238759408 ab
57928.1321582 smv 68296.8204497 302.789869107 24.9520257694 ab
57932.1321582 smv 94258.506617 343.460059915 25.6798878924 ab
57936.1321582 smv 36581.4970476 245.077171464 25.1682929113 ab
57940.1321582 smv 16615.7270091 201.230504995 25.006141895 ab
57944.1321582 smv 17353.7236088 202.444331355 25.6138862133 ab
57948.1321582 smv 5124.37107533 168.174631175 24.5279182311 ab
57952.1321582 smv 3293.99936163 162.808837583 24.2945888304 ab
57956.1321582 smv 10932.2286586 185.2609822 25.8313432718 ab
57960.1321582 smv 8701.92003622 178.876611893 25.7329657485 ab
57964.1321582 smv 3708.65640246 164.957003929 25.080597452 ab
57968.1321582 smv 6443.91410807 174.595271394 25.8598842553 ab
57972.1321582 smv 3312.52940144 163.802067066 24.9465251364 ab
57976.1321582 smv 6642.18013608 173.65899442 25.6184071115 ab
57916.1322971 kst 202093.889462 448.199816733 25.47 ab
57920.1322971 kst 314632.48873 560.329754968 25.47 ab
57924.1322971 kst 345075.957893 587.070580638 25.47 ab
57928.1322971 kst 321210.376173 566.514198932 25.47 ab
57932.1322971 kst 256181.897456 506.6964326 25.47 ab
57936.1322971 kst 199425.406605 447.624978129 25.47 ab
57940.1322971 kst 175294.562706 418.914769925 25.47 ab
57944.1322971 kst 159472.653978 399.99327765 25.47 ab
57948.1322971 kst 143911.057256 379.088167092 25.47 ab
57952.1322971 kst 113289.826077 337.283236118 25.47 ab
57956.1322971 kst 84301.0835967 290.781234499 25.47 ab
57960.1322971 kst 65580.4115138 256.519143873 25.47 ab
57964.1322971 kst 56737.8533068 238.769347649 25.47 ab
57968.1322971 kst 50020.3481864 223.834425047 25.47 ab
57972.1322971 kst 43376.2200614 208.906464638 25.47 ab
57976.1322971 kst 40618.9280449 201.277432704 25.47 ab
