@c 0.0929241478901
@x1 5.52745292818
@x0 0.089163751107
@z 0.00675632463998
@t0 57862.1741724
time band flux fluxerr zp zpsys
57858.1741724 smg 370592.264221 772.106666489 26.9879357257 ab
57862.1741724 smg 104741.072688 573.774015869 25.676052 ab
57866.1741724 smg 1519438.70752 1320.0647984 28.6136751589 ab
57870.1741724 smg 241442.706095 682.633562355 26.6477587999 ab
57874.1741724 smg 589071.711269 902.136864401 27.7499526551 ab
57878.1741724 smg 115968.708511 584.769243689 26.2240194858 ab
57882.1741724 smg 81002.8543848 553.29913068 26.0200238677 ab
57886.1741724 smg 92599.2682593 564.002188939 26.4217619969 ab
57890.1741724 smg 346087.180332 756.788145117 28.0009546225 ab
57894.1741724 smg 85817.5274064 557.544173238 26.7430496196 ab
57898.1741724 smg 40905.4786587 516.644284529 26.2561530636 ab
57902.1741724 smg 105508.936847 574.898850857 27.5424421324 ab
57858.1743112 smr 256310.800372 555.676291412 26.8221582284 ab
57862.1743112 smr 144761.710123 445.256656038 26.1832534064 ab
57866.1743112 smr 318433.25494 609.857171131 26.9847215561 ab
57870.1743112 smr 127648.874649 425.087015486 26.0220476255 ab
57874.1743112 smr 164438.681879 466.660542633 26.5349078848 ab
57878.1743112 smr 85657.166136 371.843629683 26.1884456208 ab
57882.1743112 smr 173065.356612 476.208569257 26.9486702326 ab
57886.1743112 smr 79063.5663014 364.212402735 26.0217780414 ab
57890.1743112 smr 144286.115061 444.228753724 26.4675533172 ab
57894.1743112 smr 266605.509046 565.185877501 27.1783774582 ab
57898.1743112 smr 99994.6123477 391.660186143 26.3058325861 ab
57902.1743112 smr 131060.812916 430.13007276 26.9172017905 ab
57858.1744501 smi 122495.391261 488.893534026 26.4949790826 ab
57862.1744501 smi 42681.7915304 399.562954078 25.5173726644 ab
57866.1744501 smi 19410.9724094 368.514408945 24.786869957 ab
57870.1744501 smi 85154.1473701 449.120979678 26.4590080394 ab
57874.1744501 smi 30545.4986947 383.648212964 25.6660692702 ab
57878.1744501 smi 9620.70385331 355.65707805 25.0872626093 ab
57882.1744501 smi 20635.9037272 371.165798834 26.0731805293 ab
57886.1744501 smi 9744.5439682 355.591442047 24.8003856113 ab
57890.1744501 smi 39653.1997956 395.748533037 25.6014395107 ab
57894.1744501 smi 34834.9967401 389.803841922 25.2708834273 ab
57898.1744501 smi 15213.0256573 363.773602872 24.4615003037 ab
57902.1744501 smi 35007.7934185 389.12506859 25.6293538675 ab
57858.174589 smv 66960.9258223 300.442443224 25.2219677025 ab
57862.174589 smv 48437.5635455 268.761017096 25.0688477573 ab
57866.174589 smv 50248.5255409 270.707754483 25.2055018039 ab
57870.174589 smv 23532.9977444 217.11955271 24.4682232076 ab
57874.174589 smv 31902.0860005 235.674881735 24.9992032628 ab
57878.174589 smv 44576.5162137 260.73115774 25.7101117878 ab
57882.174589 smv 5772.10822751 171.496511455 23.9893165922 ab
57886.174589 smv 6269.77613817 172.350256811 24.4894046303 ab
57890.174589 smv 3453.32723427 164.347075993 24.3110782689 ab
57894.174589 smv 2022.96102102 160.955130661 24.4680637387 ab
57898.174589 smv 2645.17842811 161.492537752 24.8055286284 ab
57902.174589 smv 6222.62402623 173.185161735 25.5645001506 ab
57858.1747279 kst 71785.0284587 268.521985351 25.47 ab
57862.1747279 kst 68927.6446161 262.369156686 25.47 ab
57866.1747279 kst 70060.2050106 264.80266362 25.47 ab
57870.1747279 kst 67121.0548215 259.8222343 25.47 ab
57874.1747279 kst 55750.8488117 236.889631281 25.47 ab
57878.1747279 kst 42946.1013609 206.623630477 25.47 ab
57882.1747279 kst 40687.0492405 201.311016405 25.47 ab
57886.1747279 kst 39568.8123933 198.815086989 25.47 ab
57890.1747279 kst 45970.4977521 214.26258871 25.47 ab
57894.1747279 kst 43814.6078651 208.927740002 25.47 ab
57898.1747279 kst 36574.806768 191.369555913 25.47 ab
57902.1747279 kst 27049.4664586 165.733377296 25.47 ab
