@x1 -0.125570227623
@c -0.0064606453591
@z 0.0987046697358
@x0 0.000388726667192
@t0 58061.5849543
time band flux fluxerr zp zpsys
58052.5849543 smg -286.586048783 581.601537001 25.6501965245 ab
58056.5849543 smg 819.762390411 582.301150974 26.7073285174 ab
58060.5849543 smg 1730.22414726 582.782576385 27.0304174792 ab
58064.5849543 smg 5392.68494296 586.476534138 28.4945483039 ab
58068.5849543 smg 2302.27138631 582.20184013 26.7194657611 ab
58072.5849543 smg 543.011470241 581.728786047 26.0984519504 ab
58076.5849543 smg 688.248774109 581.715919178 26.4230486911 ab
58080.5849543 smg 161.166640528 581.686580069 26.715075688 ab
58084.5849543 smg 400.18925811 581.613663245 26.8006808277 ab
58088.5849543 smg -322.241437728 581.737746098 27.5739003863 ab
58092.5849543 smg 11.6530734201 581.442188835 26.1272817631 ab
58096.5849543 smg 313.754826117 581.597199702 27.581926447 ab
58100.5849543 smg -597.931716489 581.458566088 26.7699244203 ab
58104.5849543 smg -783.976030032 581.408037706 26.0275714258 ab
58108.5849543 smg -851.624810406 581.430303083 26.5945460471 ab
58112.5849543 smg -240.346697567 581.414174516 26.3632622052 ab
58052.5850932 smr 229.796121948 33.347110187 25.2632720519 ab
58056.5850932 smr 491.386022244 37.3650598828 25.8756201348 ab
58060.5850932 smr 2389.08045403 57.1906269373 27.4790196313 ab
58064.5850932 smr 702.949612085 41.3124282834 26.2581758418 ab
58068.5850932 smr 807.361844289 42.5278113143 26.5013135787 ab
58072.5850932 smr 621.371484252 40.0956194721 26.4283044667 ab
58076.5850932 smr 940.264199394 43.2193491238 27.0052909226 ab
58080.5850932 smr 1223.40220385 46.5686720914 27.4944103204 ab
58084.5850932 smr 3015.24090386 62.0145591689 28.5841099692 ab
58088.5850932 smr 595.477554106 40.6578091893 27.2307185446 ab
58092.5850932 smr 572.49366712 39.0919751069 27.2185869102 ab
58096.5850932 smr 230.961210869 34.3827987923 26.4838243744 ab
58100.5850932 smr 263.756526254 34.2706933383 26.6569678572 ab
58104.5850932 smr 293.695863812 35.6745753077 27.2047575541 ab
58108.5850932 smr 274.634261806 34.7736498274 27.1140654183 ab
58112.5850932 smr 127.620582206 32.0621909675 26.022042477 ab
58052.585232 smi 327.398314759 388.227838503 25.6616309107 ab
58056.585232 smi -183.574361664 388.15683217 25.0318770075 ab
58060.585232 smi 285.670138255 388.229819564 25.327581984 ab
58064.585232 smi 96.4048863084 388.08336198 24.6058632208 ab
58068.585232 smi 464.93163679 388.168564121 25.235525561 ab
58072.585232 smi 251.593828981 388.057403745 24.8167429989 ab
58076.585232 smi 521.062121655 388.034112029 24.7424345029 ab
58080.585232 smi 336.664203117 388.16997429 25.7132660909 ab
58084.585232 smi -119.896715156 388.029513745 24.6570424705 ab
58088.585232 smi 100.392073077 388.139518057 25.5372910908 ab
58092.585232 smi 138.386190316 388.01909899 24.6439813297 ab
58096.585232 smi -181.195623916 388.087549809 25.5244823315 ab
58100.585232 smi -8.69036548587 388.009788811 24.9518583168 ab
58104.585232 smi -224.407387468 388.008950335 25.1587648613 ab
58108.585232 smi -210.080993195 387.986751502 24.9514197766 ab
58112.585232 smi -87.966616512 387.979380034 24.9578226654 ab
