@x1 -1.55923494732
@c 0.376329166424
@z 0.0122011403581
@x0 0.0272222441545
@t0 58081.2098794
time band flux fluxerr zp zpsys
58074.2098794 smg 46824.3333056 521.386219249 26.505568814 ab
58078.2098794 smg 62604.4989364 536.257643465 26.365410973 ab
58082.2098794 smg 78785.5618572 552.129706416 26.5436398988 ab
58086.2098794 smg 66550.9484418 541.62161851 26.5063567899 ab
58090.2098794 smg 15316.8813656 491.338237603 25.2038656882 ab
58094.2098794 smg 33492.4480274 509.989895285 26.4022260893 ab
58098.2098794 smg 29334.9284262 504.262989996 26.576652174 ab
58102.2098794 smg 6928.53285506 481.292382734 25.2165324282 ab
58106.2098794 smg 11002.5356256 487.14706911 26.2743526809 ab
58074.2100183 smr 90681.631941 378.559921181 26.8331608448 ab
58078.2100183 smr 41552.9188331 309.103995535 25.6467287643 ab
58082.2100183 smr 404690.81841 676.652435399 28.0064372092 ab
58086.2100183 smr 232061.245044 533.665733266 27.4971620348 ab
58090.2100183 smr 72670.157998 354.890662238 26.5580191517 ab
58094.2100183 smr 78236.4727017 362.762230654 26.8805984251 ab
58098.2100183 smr 63014.3280987 340.081902013 26.7374272758 ab
58102.2100183 smr 21255.4933383 273.179607465 25.6632477803 ab
58106.2100183 smr 42099.4338336 308.87740298 26.5765877961 ab
58074.2101572 smi 19571.2962829 369.933007553 25.3573595172 ab
58078.2101572 smi 75216.7033514 438.163882326 26.5822583292 ab
58082.2101572 smi 27653.141369 381.409775331 25.5894312656 ab
58086.2101572 smi 42124.665785 398.085826458 26.1491477737 ab
58090.2101572 smi 34767.7589983 389.645690937 26.2945860242 ab
58094.2101572 smi 40869.6337819 395.855402839 26.5793832597 ab
58098.2101572 smi 84710.9411764 449.169435341 27.336323707 ab
58102.2101572 smi 39961.0820426 395.766349281 26.4159652217 ab
58106.2101572 smi 40542.0154677 396.315049572 26.4833570405 ab
58074.2102961 smv 4478.55347273 167.485666793 24.7362725206 ab
58078.2102961 smv 14274.4407351 195.42613201 25.5742422727 ab
58082.2102961 smv 5965.53871632 172.003174319 24.580804332 ab
58086.2102961 smv 2958.08977111 162.788341651 24.0734171314 ab
58090.2102961 smv 12867.1080722 190.658459238 26.087525489 ab
58094.2102961 smv 1463.88501945 157.487489712 24.1380651033 ab
58098.2102961 smv 1371.045637 158.093571333 24.9943941274 ab
58102.2102961 smv 1068.47630951 156.354708269 25.0028955687 ab
58106.2102961 smv 740.718093512 155.023828275 24.6367661466 ab
