@c 0.347703299951
@x1 -0.415715879785
@x0 0.0774100289964
@z 0.00724970924603
@t0 57762.5966611
time band flux fluxerr zp zpsys
57756.5966611 smg 137125.148943 689.035694765 26.3142149512 ab
57760.5966611 smg 188443.73142 725.562615468 26.3901762483 ab
57764.5966611 smg 231839.392967 755.316321364 26.6059293233 ab
57768.5966611 smg 145520.569066 695.206553097 26.2430606552 ab
57772.5966611 smg 343333.042315 824.793957572 27.4334300395 ab
57776.5966611 smg 291302.32007 792.643118706 27.5770898498 ab
57780.5966611 smg 99413.7951293 662.220961689 26.747915207 ab
57784.5966611 smg 85376.1759094 651.355126934 26.8817124742 ab
57788.5966611 smg 70473.3896322 639.61081321 26.9619735374 ab
57792.5966611 smg 44762.2161059 618.701103999 26.7279226047 ab
57796.5966611 smg 28355.7041667 604.943447086 26.4534243147 ab
57800.5966611 smg 68598.1571889 637.51702384 27.6066015117 ab
57804.5966611 smg 65233.553122 634.983166098 27.6891198193 ab
57756.5968 smr 371250.481285 610.24683511 27.1211066057 ab
57760.5968 smr 167280.969122 409.751368244 26.0291772978 ab
57764.5968 smr 716684.874092 847.679437166 27.5683048584 ab
57768.5968 smr 137401.08587 372.119911472 25.8990331605 ab
57772.5968 smr 84319.1091303 292.717205819 25.6758491495 ab
57776.5968 smr 409614.817146 639.936282699 27.6069446377 ab
57780.5968 smr 90739.5691129 303.08392195 26.0778768099 ab
57784.5968 smr 130063.496352 361.815152228 26.5378857192 ab
57788.5968 smr 401552.082673 635.560516045 27.9022316881 ab
57792.5968 smr 156721.415174 396.615393811 27.1007950896 ab
57796.5968 smr 133077.475075 365.667886927 27.2137248991 ab
57800.5968 smr 50395.2732781 226.62174816 26.3857111575 ab
57804.5968 smr 125276.432182 355.015213062 27.5356972781 ab
57756.5969389 smi 55540.9970478 454.221097231 25.2842070519 ab
57760.5969389 smi 66887.4313814 465.900835606 25.4033113298 ab
57764.5969389 smi 37014.367815 433.208777572 24.8806516672 ab
57768.5969389 smi 64471.8345462 463.29417683 25.6423285939 ab
57772.5969389 smi 24143.57686 418.219400068 24.9055981722 ab
57776.5969389 smi 30690.1465649 426.061232462 25.2827710014 ab
57780.5969389 smi 25179.3407696 418.783715806 25.0149174541 ab
57784.5969389 smi 29076.9692161 424.360204598 25.1171274912 ab
57788.5969389 smi 58656.7117157 457.406078864 25.8939547629 ab
57792.5969389 smi 23335.4199218 417.281561332 25.0529182955 ab
57796.5969389 smi 24996.6936355 419.029050631 25.3357173331 ab
57800.5969389 smi 30433.5711736 425.978671102 25.8056090302 ab
57804.5969389 smi 9541.49952318 399.808784749 24.7468395489 ab
57756.5970778 kst 71020.7110004 266.591106612 25.47 ab
57760.5970778 kst 86574.608788 293.461314239 25.47 ab
57764.5970778 kst 86182.7004504 294.124752437 25.47 ab
57768.5970778 kst 76816.4756651 276.944864833 25.47 ab
57772.5970778 kst 59674.1763028 244.401572717 25.47 ab
57776.5970778 kst 48711.6222817 220.681584542 25.47 ab
57780.5970778 kst 42926.6345711 207.442957805 25.47 ab
57784.5970778 kst 39609.5653525 198.6345325 25.47 ab
57788.5970778 kst 35077.9905482 186.49102067 25.47 ab
57792.5970778 kst 28597.9514259 169.347041283 25.47 ab
57796.5970778 kst 22671.4697202 150.103952537 25.47 ab
57800.5970778 kst 18743.5830343 135.542181683 25.47 ab
57804.5970778 kst 15460.485417 124.725544439 25.47 ab
