@c 0.122085179186
@x1 4.17555766265
@x0 0.0133805459972
@z 0.0173673390608
@t0 57953.7493898
time band flux fluxerr zp zpsys
57942.7493898 smg 15559.4237189 594.813773849 26.0368725666 ab
57946.7493898 smg 39939.2420611 614.688720781 26.7007126885 ab
57950.7493898 smg 49883.6534826 622.645960954 26.8952955439 ab
57954.7493898 smg 36968.3673116 611.685982342 26.5778403098 ab
57958.7493898 smg 71670.2311223 640.392184272 27.3717131676 ab
57962.7493898 smg 39872.0963066 614.173595004 26.7930013127 ab
57966.7493898 smg 34801.5199852 610.340505843 26.8492436595 ab
57970.7493898 smg 27157.0656306 603.805773098 26.8035677488 ab
57974.7493898 smg 36889.3481878 611.882870002 27.3861398076 ab
57978.7493898 smg 17054.1141372 595.466545829 26.7809957674 ab
57982.7493898 smg 13419.9790149 592.309636435 26.6803201855 ab
57986.7493898 smg 7574.96875507 587.336202331 26.3047627741 ab
57990.7493898 smg 2856.96316505 583.827438872 25.6243096065 ab
57942.7495287 smr 28669.3129997 172.30691968 26.7981680575 ab
57946.7495287 smr 47216.1311029 219.615304353 27.0459067326 ab
57950.7495287 smr 79958.4386712 284.438421729 27.5332927322 ab
57954.7495287 smr 18725.5886873 140.018251663 25.8943230453 ab
57958.7495287 smr 41793.5550253 206.525607457 26.7662140984 ab
57962.7495287 smr 62467.1029143 252.06467522 27.3078752072 ab
57966.7495287 smr 8143.80132618 95.7556473611 25.395970857 ab
57970.7495287 smr 76585.2940521 279.2639967 28.0729256323 ab
57974.7495287 smr 19213.3245863 142.241105987 26.5691822178 ab
57978.7495287 smr 12643.7472825 117.023078023 26.0276695338 ab
57982.7495287 smr 27613.4239631 168.408203643 26.7689005337 ab
57986.7495287 smr 67610.2475895 261.738985244 27.8578890267 ab
57990.7495287 smr 25743.624277 162.668596351 27.0135797511 ab
57942.7496676 smi 3504.10014537 392.682071454 24.8094240634 ab
57946.7496676 smi 8811.52131904 398.621808687 25.5340542771 ab
57950.7496676 smi 4669.69180265 394.312495619 24.9923128127 ab
57954.7496676 smi 9656.38488672 400.130179303 25.9182720376 ab
57958.7496676 smi 4971.58461828 394.492944022 25.3099431449 ab
57962.7496676 smi 3581.62054276 392.201233101 24.9719963052 ab
57966.7496676 smi 3911.42578221 392.689472387 25.4756989245 ab
57970.7496676 smi 1504.5081026 390.037755726 24.9724573074 ab
57974.7496676 smi 2696.4276838 390.862585272 25.4080747428 ab
57978.7496676 smi 3681.23049887 392.479614383 25.452622231 ab
57982.7496676 smi 3054.80779172 391.510398742 24.7179178753 ab
57986.7496676 smi 6095.93627193 396.359898037 25.5715093968 ab
57990.7496676 smi 5547.37138768 394.915966132 25.4961955198 ab
57942.7498065 kst 8278.83865675 90.9364827006 25.47 ab
57946.7498065 kst 11001.8214149 104.190627167 25.47 ab
57950.7498065 kst 11162.32263 105.581235458 25.47 ab
57954.7498065 kst 11379.651525 105.572997601 25.47 ab
57958.7498065 kst 10892.2622052 104.697623742 25.47 ab
57962.7498065 kst 10022.0566642 99.9872428469 25.47 ab
57966.7498065 kst 7907.43131949 89.1005349788 25.47 ab
57970.7498065 kst 6413.31770529 80.2718858076 25.47 ab
57974.7498065 kst 5895.60477372 77.1396571756 25.47 ab
57978.7498065 kst 5895.00384177 77.2980349109 25.47 ab
57982.7498065 kst 6392.2363161 79.8507603073 25.47 ab
57986.7498065 kst 5809.3352349 76.1889748005 25.47 ab
57990.7498065 kst 4831.01407112 69.1731927794 25.47 ab
