@c -0.677371557608
@x1 -1.79581705831
@x0 0.248035392835
@z 0.00405523532689
@t0 57968.8726719
time band flux fluxerr zp zpsys
57956.8726719 smg 272974.721291 705.954519328 28.2767477281 ab
57960.8726719 smg 168571.301454 628.11483368 26.24346736 ab
57964.8726719 smg 826157.167456 1025.73376454 27.3270332938 ab
57968.8726719 smg 1140649.8525 1167.94774332 27.5016780745 ab
57972.8726719 smg 469602.618929 835.053739515 26.6606534415 ab
57976.8726719 smg 256052.025177 694.467514347 26.2916011525 ab
57980.8726719 smg 144453.044903 607.931789591 26.0570356828 ab
57984.8726719 smg 153929.810915 615.783400319 26.5639107449 ab
57988.8726719 smg 330652.925666 746.422297076 27.8115357535 ab
57992.8726719 smg 72784.1241583 545.658649069 26.4949531435 ab
57996.8726719 smg 77061.9957447 550.50146376 26.9579413706 ab
58000.8726719 smg 318924.366844 737.497778487 28.7214692057 ab
57956.8728108 smr 60075.0324945 336.051141984 27.1565114754 ab
57960.8728108 smr 155066.118659 455.711367942 26.8475514223 ab
57964.8728108 smr 226948.725016 528.827365422 26.7186260613 ab
57968.8728108 smr 220580.243885 522.887319982 26.5421554818 ab
57972.8728108 smr 145816.095094 446.229459215 26.1470508883 ab
57976.8728108 smr 612569.218262 815.181823997 27.9846561612 ab
57980.8728108 smr 247179.596862 547.768893392 27.3135677109 ab
57984.8728108 smr 127300.285602 424.584485895 26.7054969 ab
57988.8728108 smr 141747.290406 442.081179126 26.9156941635 ab
57992.8728108 smr 84545.0838354 371.351253667 26.5134605673 ab
57996.8728108 smr 31580.6791452 290.899700571 25.7718242917 ab
58000.8728108 smr 58432.1395315 333.270627291 26.8568701492 ab
57956.8729496 smi 23968.0066006 375.283145409 26.6680571574 ab
57960.8729496 smi 46692.1890148 404.907420176 26.1393967796 ab
57964.8729496 smi 39268.1354517 395.673792148 25.5432223386 ab
57968.8729496 smi 206643.650036 568.344759209 27.363747409 ab
57972.8729496 smi 61576.0236458 422.253971405 26.1788241555 ab
57976.8729496 smi 82655.2830018 446.716874159 26.8026787591 ab
57980.8729496 smi 9818.57351976 355.751716832 24.7171246756 ab
57984.8729496 smi 39642.5808277 395.430783054 26.1477864725 ab
57988.8729496 smi 26193.1762552 377.991635732 25.6051845271 ab
57992.8729496 smi 86341.5713587 450.236944576 26.9028805659 ab
57996.8729496 smi 13870.9791569 361.27790176 25.1882331755 ab
58000.8729496 smi 29564.5494035 383.301357398 26.3853025027 ab
57956.8730885 smv 13467.8595794 192.124407188 25.084236451 ab
57960.8730885 smv 143528.731373 408.889650107 25.6910988074 ab
57964.8730885 smv 108870.901539 364.640856257 24.6918755295 ab
57968.8730885 smv 116554.093474 373.991527123 24.6201661721 ab
57972.8730885 smv 158487.395503 426.435127703 25.1663229969 ab
57976.8730885 smv 149911.304742 416.194597023 25.5253727537 ab
57980.8730885 smv 60357.1335037 288.70748312 25.0855377147 ab
57984.8730885 smv 18832.5237333 206.531386373 24.5854046806 ab
57988.8730885 smv 42007.001771 255.974562475 26.0506373968 ab
57992.8730885 smv 33941.7112579 240.270058557 26.1254063688 ab
57996.8730885 smv 6227.27516169 172.970264808 24.5498511941 ab
58000.8730885 smv 2380.97963421 161.060413259 23.5388744147 ab
57956.8732274 kst 13202.4601224 116.051952999 25.47 ab
57960.8732274 kst 48776.7375145 221.642115321 25.47 ab
57964.8732274 kst 84222.7863366 290.722347185 25.47 ab
57968.8732274 kst 97273.5798602 311.753613444 25.47 ab
57972.8732274 kst 89973.3245229 300.142493567 25.47 ab
57976.8732274 kst 71079.6547881 266.855147419 25.47 ab
57980.8732274 kst 53655.9097569 231.284357919 25.47 ab
57984.8732274 kst 42676.3026378 206.812336541 25.47 ab
57988.8732274 kst 34729.7147755 187.248601019 25.47 ab
57992.8732274 kst 29206.8643212 170.376276508 25.47 ab
57996.8732274 kst 21004.4042367 145.519570877 25.47 ab
58000.8732274 kst 15502.7439845 124.813523885 25.47 ab
