@x1 1.00766482702
@c -0.0831116480073
@z 0.0587915215369
@x0 0.00113014555683
@t0 58014.8102373
time band flux fluxerr zp zpsys
58008.8102373 smg 1085.57635698 582.471031712 25.8083924985 ab
58012.8102373 smg 6314.73091275 586.879352357 27.4092382926 ab
58016.8102373 smg 3156.98652688 584.173733124 26.6931467563 ab
58020.8102373 smg 8223.62065197 588.052388738 27.7722344224 ab
58024.8102373 smg 1147.23862097 582.480767777 26.0332044376 ab
58028.8102373 smg 3372.83645098 584.272925861 27.3745288512 ab
58032.8102373 smg 2373.53739065 583.447636048 27.3410268051 ab
58036.8102373 smg 734.376777582 581.998653197 26.3795607268 ab
58040.8102373 smg -239.319239372 581.95715878 26.6239077021 ab
58008.8103762 smr 1352.47596329 47.9451963143 26.106498674 ab
58012.8103762 smr 1574.52668557 50.4622627956 26.1154150614 ab
58016.8103762 smr 2222.08664776 56.0443412942 26.4104009865 ab
58020.8103762 smr 5262.28268699 79.2420129595 27.438152801 ab
58024.8103762 smr 897.97936373 42.1149141375 25.6108872045 ab
58028.8103762 smr 4694.69694871 74.8397709442 27.7012917462 ab
58032.8103762 smr 875.235330415 41.6890247574 25.9436566369 ab
58036.8103762 smr 6433.11087573 85.1066651735 28.2650016829 ab
58040.8103762 smr 1740.1951596 51.5217229134 26.928458299 ab
58008.8105151 smi 1055.92175561 388.479854784 25.2087084902 ab
58012.8105151 smi 229.06337199 388.584339742 25.4118461381 ab
58016.8105151 smi 1151.1672767 388.384492189 25.0782006224 ab
58020.8105151 smi 1140.75962651 388.371280217 25.1304678502 ab
58024.8105151 smi 719.669812368 388.328660837 25.259997435 ab
58028.8105151 smi 514.781909933 388.11060805 24.6350852991 ab
58032.8105151 smi 238.938193088 388.246669677 25.3486212522 ab
58036.8105151 smi 556.762924229 388.136058515 24.8139309095 ab
58040.8105151 smi -146.211195705 388.224521128 25.1311365502 ab
