@x1 -0.356154731366
@c 0.381372684198
@z 0.0221173823634
@x0 0.00821931349392
@t0 58101.0439269
time band flux fluxerr zp zpsys
58095.0439269 smg 37732.1720481 613.806015645 27.3481736343 ab
58099.0439269 smg 14785.8286406 594.283811637 26.0736144987 ab
58103.0439269 smg 60980.3454547 631.378449407 27.5704558295 ab
58107.0439269 smg 9942.07282438 589.904111835 25.7622542833 ab
58111.0439269 smg 101784.832678 663.290805971 28.5402023932 ab
58115.0439269 smg 5041.00072882 585.94715557 25.6626699563 ab
58119.0439269 smg 7966.21346255 588.34620648 26.4551733123 ab
58123.0439269 smg 17057.7559212 596.417711222 27.6089155598 ab
58127.0439269 smg 4087.6674251 585.009309876 26.3544713764 ab
58131.0439269 smg 4799.3213899 586.487674159 26.9955578768 ab
58135.0439269 smg 6117.89066534 587.052983738 27.3470786835 ab
58139.0439269 smg 2150.74880044 582.545393296 25.8200193916 ab
58095.0440658 smr 28497.3943636 172.162210946 26.7057889947 ab
58099.0440658 smr 25628.775937 162.90355377 26.3592107981 ab
58103.0440658 smr 17440.745856 135.242028674 25.8901451388 ab
58107.0440658 smr 68645.1047837 263.316296248 27.4916112152 ab
58111.0440658 smr 25302.7958924 161.908165163 26.6986974485 ab
58115.0440658 smr 41505.249194 206.120239005 27.4606574589 ab
58119.0440658 smr 15371.4093605 127.711811948 26.4873271866 ab
58123.0440658 smr 39207.7125579 200.201277008 27.5740933469 ab
58127.0440658 smr 5897.30559476 82.2775827101 25.6350285621 ab
58131.0440658 smr 3845.19838372 69.6042093138 25.4097312506 ab
58135.0440658 smr 8108.53386645 94.4370188936 26.4666809369 ab
58139.0440658 smr 6491.66046546 85.6238505647 26.4545723735 ab
58095.0442047 smi 5761.48654416 395.47375261 25.1774575353 ab
58099.0442047 smi 10336.8129329 401.005580603 25.7232831564 ab
58103.0442047 smi 6657.99333749 396.247664834 25.3148172905 ab
58107.0442047 smi 8950.26404223 399.338671396 25.8240492467 ab
58111.0442047 smi 3015.66320382 392.257117152 25.0778951596 ab
58115.0442047 smi 3131.67317149 391.745911896 25.0845180917 ab
58119.0442047 smi 4518.92929505 392.848723598 25.3364014584 ab
58123.0442047 smi 2423.42801842 390.779026669 24.6636053586 ab
58127.0442047 smi 3596.61620738 392.450644306 25.1867215504 ab
58131.0442047 smi 4147.57061386 393.043309335 25.4533378335 ab
58135.0442047 smi 3635.38901265 393.379359487 25.7388615762 ab
58139.0442047 smi 2238.88142088 390.857932532 25.2949585015 ab
