@x1 0.182881203745
@c -0.0765116649508
@z 0.0183597370998
@x0 0.0119636896118
@t0 58115.9458459
time band flux fluxerr zp zpsys
58103.9458459 smg 12427.9054159 487.553561126 26.9175894806 ab
58107.9458459 smg 11812.2574229 486.65428757 25.9921207523 ab
58111.9458459 smg 38975.1730944 514.213724582 26.9487796784 ab
58115.9458459 smg 24014.4539933 499.61962914 26.3283128428 ab
58119.9458459 smg 20053.3241344 496.287035837 26.2489617964 ab
58123.9458459 smg 13701.2258207 489.765499735 26.0418245948 ab
58127.9458459 smg 16842.6619083 492.000418977 26.4810751512 ab
58131.9458459 smg 20161.7356439 495.620071337 27.0378300554 ab
58135.9458459 smg 8954.82805294 484.605185773 26.5084144295 ab
58139.9458459 smg 8855.72148136 484.82218088 26.8431438058 ab
58143.9458459 smg 7777.9767387 483.165523621 26.9087307843 ab
58147.9458459 smg 6474.96018796 482.343738546 27.0504708633 ab
58151.9458459 smg 14693.7037462 490.339549124 28.0921642016 ab
58103.9459848 smr 20739.6358601 271.848990863 27.6773434189 ab
58107.9459848 smr 34249.8312899 295.224846016 27.3942551475 ab
58111.9459848 smr 86709.3474984 373.301119593 28.0276449984 ab
58115.9459848 smr 120362.69507 415.656444427 28.2686843334 ab
58119.9459848 smr 14877.2834298 260.284427063 26.012377036 ab
58123.9459848 smr 15835.9613096 263.282103825 26.3207334748 ab
58127.9459848 smr 37854.8723732 302.302600071 27.5298432019 ab
58131.9459848 smr 26410.7043007 281.89724291 27.313969566 ab
58135.9459848 smr 22131.6044916 274.397522003 27.1906078203 ab
58139.9459848 smr 5449.83135291 242.674256803 25.8095693087 ab
58143.9459848 smr 3435.0510977 237.04114929 25.2483486062 ab
58147.9459848 smr 15344.8122217 261.689470849 27.2146827375 ab
58151.9459848 smr 11416.2968199 253.092777195 27.0927846511 ab
58103.9461237 smi 1444.62338319 344.302399982 25.3165701628 ab
58107.9461237 smi 10800.9145292 356.663135257 26.4606559343 ab
58111.9461237 smi 11759.4644505 358.728008929 26.3574946213 ab
58115.9461237 smi 12314.7308436 359.52024679 26.4697656977 ab
58119.9461237 smi 5493.88172592 349.907360181 25.7330666824 ab
58123.9461237 smi 8042.94404755 353.160583075 26.3347472069 ab
58127.9461237 smi 6845.73588603 351.339896729 26.4134921641 ab
58131.9461237 smi 441.376501905 343.062733013 24.3509491563 ab
58135.9461237 smi 4961.44993418 349.085756925 26.1454920302 ab
58139.9461237 smi 3632.98107833 347.42577304 25.8103765323 ab
58143.9461237 smi 6655.76689766 351.711040131 26.4349085392 ab
58147.9461237 smi 2750.83649602 345.437591408 25.4839367873 ab
58151.9461237 smi 6967.03917763 352.451884888 26.8437028714 ab
58103.9462626 smv 2486.60085204 161.133835646 25.362860158 ab
58107.9462626 smv 6910.29310929 174.500123388 25.6235837383 ab
58111.9462626 smv 5644.0392631 170.632186936 25.0250864053 ab
58115.9462626 smv 15101.7639445 196.448687871 26.085157222 ab
58119.9462626 smv 1530.25276816 158.633066647 23.851299777 ab
58123.9462626 smv 6127.09631079 171.528884708 25.5437847821 ab
58127.9462626 smv 2544.91190175 161.555114551 25.0410403177 ab
58131.9462626 smv 1199.32875723 157.497302863 24.8084015619 ab
58135.9462626 smv 470.763191501 155.098363347 24.3558515875 ab
58139.9462626 smv 928.975064899 155.974794709 25.1949988715 ab
58143.9462626 smv 447.134761707 155.028487071 25.03701316 ab
58147.9462626 smv 166.741261524 154.143025898 24.4167665082 ab
58151.9462626 smv 1129.33980891 156.273875307 26.1414140329 ab
