@x1 2.54804461108
@c 0.213266707959
@z 0.0692169397736
@x0 0.000808736875233
@t0 57920.5739151
time band flux fluxerr zp zpsys
57913.5739151 smg 373.657471335 476.152930176 25.7999699913 ab
57917.5739151 smg 1949.08527662 476.53411582 26.0183690489 ab
57921.5739151 smg 2278.92157492 476.999479448 26.3283658927 ab
57925.5739151 smg 4880.26017156 480.588219095 27.5546605084 ab
57929.5739151 smg 5961.56907173 481.223106725 27.8065905399 ab
57933.5739151 smg 2517.37119492 477.835002114 27.1473802668 ab
57937.5739151 smg 1196.84183171 477.071998905 27.0845754843 ab
57941.5739151 smg 766.998270882 475.754435442 26.1897653466 ab
57945.5739151 smg 1871.96138699 477.353306105 27.848788124 ab
57949.5739151 smg 2277.89753067 476.970430698 27.8772711263 ab
57953.5739151 smg -99.4962898508 475.393143594 26.1977718865 ab
57957.5739151 smg 1231.07218519 476.026061479 27.6816958725 ab
57961.5739151 smg 592.070934598 475.679409702 27.3965075769 ab
57965.5739151 smg 588.152669838 475.509504632 27.1725625175 ab
57913.574054 smr 1554.20348439 233.361802929 26.0580476145 ab
57917.574054 smr 6431.51979567 244.270778717 27.6140910054 ab
57921.574054 smr 3492.42091698 238.572188683 26.9753721664 ab
57925.574054 smr 3464.68883647 238.028640565 26.9211543055 ab
57929.574054 smr 897.264914859 231.598594366 24.9876730003 ab
57933.574054 smr 2443.07316894 235.115347154 26.7005285281 ab
57937.574054 smr 2783.29616747 236.363191898 27.1828179852 ab
57941.574054 smr 879.405977019 233.719052743 26.6087731254 ab
57945.574054 smr 5251.28261566 240.989907103 27.9229145265 ab
57949.574054 smr 1208.37258465 233.172781257 26.459643514 ab
57953.574054 smr 933.775570409 232.24868764 26.1599204482 ab
57957.574054 smr 2200.03700822 234.426507944 27.2379723888 ab
57961.574054 smr 638.232802172 231.697594861 26.2237443589 ab
57965.574054 smr 1365.59533299 232.708280449 27.0802971158 ab
57913.5741928 smi 1693.13027625 344.235893273 26.5594608178 ab
57917.5741928 smi 865.832873754 342.435477347 25.2646801619 ab
57921.5741928 smi 1976.02055051 344.941322205 26.9475091601 ab
57925.5741928 smi 1342.73525563 343.865532314 26.5322205627 ab
57929.5741928 smi 931.905412374 342.573320336 25.6538081332 ab
57933.5741928 smi 566.545822978 342.338801157 25.6027007127 ab
57937.5741928 smi 422.35545578 341.988170353 25.0540742749 ab
57941.5741928 smi 1502.8817222 344.232060428 27.398071465 ab
57945.5741928 smi 759.95208093 342.317686364 25.733586184 ab
57949.5741928 smi 770.128824367 343.226761912 26.4341337172 ab
57953.5741928 smi 701.813202558 342.612517681 25.8375367553 ab
57957.5741928 smi 1009.31747078 343.285694201 26.5671547975 ab
57961.5741928 smi 402.627048889 342.084060324 25.2441293373 ab
57965.5741928 smi 716.763669347 342.087864915 25.539895956 ab
57913.5743317 smv 202.34781369 153.890758289 24.0723861346 ab
57917.5743317 smv 727.436699112 155.710890416 25.8068334653 ab
57921.5743317 smv -17.0724373557 154.155815179 24.7386347396 ab
57925.5743317 smv -82.6002437051 154.086671958 24.7858526493 ab
57929.5743317 smv 326.058781115 154.115710957 25.0862839576 ab
57933.5743317 smv 540.376956736 155.057002149 26.4801948183 ab
57937.5743317 smv -15.5210617459 153.555172885 24.1083573386 ab
57941.5743317 smv -59.0837938179 153.587153618 24.6486457507 ab
57945.5743317 smv 195.685720279 153.64547103 25.4021590308 ab
57949.5743317 smv -64.6944891364 153.496294454 24.4477728592 ab
57953.5743317 smv -350.864646781 153.536832391 25.0314732875 ab
57957.5743317 smv 217.697411656 153.592641533 25.4882840107 ab
57961.5743317 smv -287.590512906 153.587512691 25.8701664625 ab
57965.5743317 smv 0.0449847689563 153.51472448 25.7609532092 ab
