@c -0.0461911103017
@x1 -3.73212523434
@x0 0.00225349058216
@z 0.0419110528321
@t0 58001.2269728
time band flux fluxerr zp zpsys
57991.2269728 smg -79.5511251354 581.943792681 26.4475221562 ab
57995.2269728 smg 9262.20074761 589.635914754 27.6477018609 ab
57999.2269728 smg 13721.2040938 593.426403756 27.5768773477 ab
58003.2269728 smg 6431.03685208 586.565424756 26.6446928551 ab
58007.2269728 smg 25176.3736285 602.89028471 28.4593388027 ab
58011.2269728 smg 1725.52424997 583.314266634 26.2935397502 ab
58015.2269728 smg 10902.1908852 590.779590111 28.5408403088 ab
58019.2269728 smg 760.979527352 582.020814367 26.2706990337 ab
58023.2269728 smg 589.493647985 582.379002623 27.2309742866 ab
58027.2269728 smg 853.216877133 581.630062046 26.2451191926 ab
58031.2269728 smg 131.768918002 581.451023941 25.6120306315 ab
58035.2269728 smg 446.027252749 581.486998051 25.9225348981 ab
57991.2271117 smr 773.742189086 41.5098630845 26.1430675375 ab
57995.2271117 smr 2703.52604002 60.2627922878 26.246895108 ab
57999.2271117 smr 3586.94911187 68.1167614272 26.2294581931 ab
58003.2271117 smr 3315.16100957 64.5047286264 26.0224323969 ab
58007.2271117 smr 1069.77862083 44.718598997 24.9607278134 ab
58011.2271117 smr 2251.64810711 56.267905626 26.1618871588 ab
58015.2271117 smr 1107.77759999 45.7911086573 25.5978394081 ab
58019.2271117 smr 958.527904274 43.5064610639 25.4593813292 ab
58023.2271117 smr 1711.47310155 51.6596464296 26.2759951714 ab
58027.2271117 smr 600.386848601 38.9733118574 25.4996027094 ab
58031.2271117 smr 893.676869638 42.4482552618 26.5965344898 ab
58035.2271117 smr 1836.03977314 52.4524000784 28.0834524104 ab
57991.2272506 smi 357.015118885 388.348013888 25.3225106634 ab
57995.2272506 smi 1784.71402643 389.638550161 25.6847688374 ab
57999.2272506 smi 818.675505865 389.538141326 25.4191688779 ab
58003.2272506 smi 761.493090588 389.026870097 25.0235105224 ab
58007.2272506 smi 1119.30442115 388.969777764 25.1864009683 ab
58011.2272506 smi 110.939990821 388.345578332 24.6568381557 ab
58015.2272506 smi 1153.14495616 388.690246592 25.3037864196 ab
58019.2272506 smi 117.796510602 388.365695207 24.521373657 ab
58023.2272506 smi 890.283366504 389.129762262 25.5470576669 ab
58027.2272506 smi 584.600476638 388.821974936 25.4450541932 ab
58031.2272506 smi 110.264537692 388.353011871 25.1901677069 ab
58035.2272506 smi 765.528442769 388.171293817 25.3193190044 ab
57991.2273895 kst 356.084668719 18.5815651506 25.47 ab
57995.2273895 kst 1238.94394342 34.844852869 25.47 ab
57999.2273895 kst 1769.71358107 41.5608142317 25.47 ab
58003.2273895 kst 1706.09920771 42.0526456056 25.47 ab
58007.2273895 kst 1499.84384189 38.4155906927 25.47 ab
58011.2273895 kst 994.413934786 32.0179950805 25.47 ab
58015.2273895 kst 795.233200169 28.7142891499 25.47 ab
58019.2273895 kst 669.410472458 26.3066706137 25.47 ab
58023.2273895 kst 610.771094473 24.4665646435 25.47 ab
58027.2273895 kst 432.332531115 20.8840594191 25.47 ab
58031.2273895 kst 206.280023184 15.5773928377 25.47 ab
58035.2273895 kst 154.729052724 11.8502934327 25.47 ab
