@c -0.398167078223
@x1 0.416332587669
@x0 0.0185558298387
@z 0.0147631663272
@t0 57960.5166497
time band flux fluxerr zp zpsys
57957.5166497 smg 21011.6272962 496.415410888 25.8732019996 ab
57961.5166497 smg 99301.6936662 569.998823811 27.5339060673 ab
57965.5166497 smg 39105.866784 515.543154845 26.6668359017 ab
57969.5166497 smg 56870.7536646 531.56159122 27.2673747512 ab
57973.5166497 smg 72652.682102 546.188696219 27.8368435555 ab
57977.5166497 smg 33814.4853939 509.323538838 27.3435151693 ab
57981.5166497 smg 9328.17495897 484.981595153 26.2920172532 ab
57985.5166497 smg 12163.5120532 487.370027737 26.8345994435 ab
57989.5166497 smg 15818.2269857 491.701211449 27.4282152539 ab
57993.5166497 smg 11910.5690178 486.84028993 27.3087043021 ab
57997.5166497 smg 5515.60800466 481.26163513 26.8215609159 ab
58001.5166497 smg 8092.37893352 484.641816822 27.4578836274 ab
58005.5166497 smg 2454.13023749 478.495550911 26.4505600435 ab
58009.5166497 smg 3770.53591853 478.67493452 26.5867664948 ab
57957.5167886 smr 12176.5943109 256.068909197 25.892619477 ab
57961.5167886 smr 26763.5572639 282.517059193 26.637774442 ab
57965.5167886 smr 40722.7055017 305.715210234 27.1466122542 ab
57969.5167886 smr 29449.9635263 288.188718141 27.0579400363 ab
57973.5167886 smr 22866.6647469 276.663673786 27.0582716127 ab
57977.5167886 smr 8095.71987932 247.701973859 26.0850454164 ab
57981.5167886 smr 14458.6003338 260.117358793 26.7569063922 ab
57985.5167886 smr 24688.6921849 278.497405175 27.3927154362 ab
57989.5167886 smr 5362.73438123 240.888687567 25.7806311595 ab
57993.5167886 smr 8285.39939761 247.573426636 26.5646427378 ab
57997.5167886 smr 5438.9137285 242.124957736 26.3709128259 ab
58001.5167886 smr 4364.71040347 238.990943117 26.233828368 ab
58005.5167886 smr 9863.20861744 250.98739753 27.3895997514 ab
58009.5167886 smr 4369.81201182 239.76213815 26.6477507066 ab
57957.5169275 smi 24012.1441301 374.628546529 27.257921806 ab
57961.5169275 smi 2307.64407464 345.474053063 24.9555423622 ab
57965.5169275 smi 4141.02318135 347.328080587 25.5205181681 ab
57969.5169275 smi 5467.05766332 348.729524152 26.0332835596 ab
57973.5169275 smi 295.601489147 342.69110796 24.115810407 ab
57977.5169275 smi 3035.35133187 346.605801024 25.9189162985 ab
57981.5169275 smi 1717.04344189 344.851576925 25.3714737652 ab
57985.5169275 smi 7446.18723474 352.845066282 26.6974917113 ab
57989.5169275 smi 1134.10194059 343.762573604 24.8603834642 ab
57993.5169275 smi 430.694064754 342.866845973 24.3730838546 ab
57997.5169275 smi 1277.4064651 343.346548629 24.9567342298 ab
58001.5169275 smi 1994.49880785 345.304101276 26.0744597665 ab
58005.5169275 smi 699.750631325 342.174119584 24.0493483049 ab
58009.5169275 smi 1495.62309647 343.492411281 25.6272683207 ab
57957.5170664 smv 10435.2077247 184.112050196 24.9131927671 ab
57961.5170664 smv 16680.6739553 201.335440223 25.5112801627 ab
57965.5170664 smv 8367.32586997 178.657866527 24.9483384854 ab
57969.5170664 smv 3356.63675758 164.496599589 24.3145549822 ab
57973.5170664 smv 4741.38273999 168.333219937 25.0792518211 ab
57977.5170664 smv 1588.88961605 158.352843739 24.3775015869 ab
57981.5170664 smv 3662.1278151 164.096714555 25.7284097456 ab
57985.5170664 smv 679.251948258 155.367808665 24.2086227491 ab
57989.5170664 smv 2270.45771075 160.146256633 25.9273220179 ab
57993.5170664 smv 66.3355033022 154.315250743 23.9587877107 ab
57997.5170664 smv 2001.1825161 159.425855587 26.2446054319 ab
58001.5170664 smv 699.430958973 155.401625194 25.1057944156 ab
58005.5170664 smv 353.737767886 153.946787637 23.7050837784 ab
58009.5170664 smv 848.014184752 156.030396271 25.5769104492 ab
57957.5172053 kst 9151.14181824 95.5893210709 25.47 ab
57961.5172053 kst 9499.54405801 97.532974563 25.47 ab
57965.5172053 kst 8695.54362288 93.7630885034 25.47 ab
57969.5172053 kst 7251.44309579 84.9383686649 25.47 ab
57973.5172053 kst 5851.03663266 75.321699429 25.47 ab
57977.5172053 kst 4599.36133845 68.1047351784 25.47 ab
57981.5172053 kst 3915.4471601 63.4628572924 25.47 ab
57985.5172053 kst 3537.3618934 59.4537612512 25.47 ab
57989.5172053 kst 3111.35917295 55.4348084637 25.47 ab
57993.5172053 kst 2511.89079836 50.0619904236 25.47 ab
57997.5172053 kst 1977.77216598 45.1353695991 25.47 ab
58001.5172053 kst 1673.15632773 40.9840270707 25.47 ab
58005.5172053 kst 1534.19408218 37.9563535791 25.47 ab
58009.5172053 kst 1222.2799361 35.9769387789 25.47 ab
