@x1 2.7045079807
@c 0.0707607619286
@z 0.0881945104704
@x0 0.000490858884935
@t0 57936.5951897
time band flux fluxerr zp zpsys
57926.5951897 smg 2626.62901602 583.493252378 27.5390672908 ab
57930.5951897 smg 1987.16174428 583.403750387 27.2065102145 ab
57934.5951897 smg 228.89859124 582.001461507 25.8869593012 ab
57938.5951897 smg 619.749487866 582.052766614 26.0052675321 ab
57942.5951897 smg 510.986302123 581.984951424 25.9840901993 ab
57946.5951897 smg 2139.27874522 582.678272015 26.9444860137 ab
57950.5951897 smg 1671.9241978 581.804844993 25.9929725488 ab
57954.5951897 smg -195.876136742 581.589440746 25.5514100795 ab
57958.5951897 smg 377.45375104 581.508246257 25.3705751502 ab
57926.5953286 smr 1022.7148922 43.9666896201 26.6428985151 ab
57930.5953286 smr 1451.98917174 49.181053975 26.7607500011 ab
57934.5953286 smr 1092.34775563 44.6842547213 26.2974734202 ab
57938.5953286 smr 1584.02615723 49.9699495531 26.6951917437 ab
57942.5953286 smr 1302.34576239 47.3205581296 26.5386794494 ab
57946.5953286 smr 1778.2381969 51.8043285431 26.9677607121 ab
57950.5953286 smr 1441.64295202 49.8084377157 27.049136203 ab
57954.5953286 smr 684.120588525 40.2924976999 26.3709813831 ab
57958.5953286 smr 1231.77874812 46.0790827523 27.0476993754 ab
57926.5954675 smi 616.282538292 388.352255673 25.6280751901 ab
57930.5954675 smi -329.43768601 388.184102493 24.8998241049 ab
57934.5954675 smi 208.581542593 388.127889015 24.7243767058 ab
57938.5954675 smi -290.35315167 388.146267501 24.7937974553 ab
57942.5954675 smi 94.0012114396 388.22262888 25.1556767285 ab
57946.5954675 smi -140.218241127 388.162382238 25.0527763322 ab
57950.5954675 smi -19.9931640771 388.094883779 25.0105656357 ab
57954.5954675 smi -11.8442752104 388.088157614 25.1977395459 ab
57958.5954675 smi 182.015669231 388.188368498 25.6869389849 ab
