@x1 -0.207833937166
@c -0.205570801889
@z 0.00815960649757
@x0 0.0610639394931
@t0 57968.676923
time band flux fluxerr zp zpsys
57959.676923 smg 66978.7440247 540.267974828 26.4948422759 ab
57963.676923 smg 294507.267212 720.571995321 27.5418862888 ab
57967.676923 smg 121380.457085 589.007981374 26.4000310546 ab
57971.676923 smg 119917.544547 587.895981844 26.4336833524 ab
57975.676923 smg 157694.690247 618.756144561 26.9132898202 ab
57979.676923 smg 136867.414007 603.186543083 27.0577046131 ab
57983.676923 smg 71001.7597405 544.463328704 26.6791357964 ab
57987.676923 smg 76334.1103346 549.257564806 27.0892994505 ab
57991.676923 smg 30508.1578018 506.514456421 26.4262154904 ab
57959.6770619 smr 36246.6501062 298.89338497 26.1336942441 ab
57963.6770619 smr 284639.665799 580.740751285 27.8303063073 ab
57967.6770619 smr 583511.080333 798.451814489 28.450318558 ab
57971.6770619 smr 96806.490026 387.200928078 26.4909825512 ab
57975.6770619 smr 83615.4360229 369.897250053 26.4997111519 ab
57979.6770619 smr 85709.4005962 372.727245069 26.8289933535 ab
57983.6770619 smr 91479.0960537 381.418920654 27.1144984009 ab
57987.6770619 smr 99570.3414169 390.853562968 27.2782801617 ab
57991.6770619 smr 127433.902214 424.983623681 27.6265228129 ab
57959.6772008 smi 119788.452772 485.959290723 27.8151490276 ab
57963.6772008 smi 20028.4092963 369.413820927 25.4253324999 ab
57967.6772008 smi 18264.1573635 368.123521956 25.3788522918 ab
57971.6772008 smi 22583.2210919 373.137960142 25.7007472222 ab
57975.6772008 smi 25069.0174111 376.280047472 26.0070025311 ab
57979.6772008 smi 5751.28377154 349.873992214 24.6963665739 ab
57983.6772008 smi 16127.2636641 364.19364479 25.8999823504 ab
57987.6772008 smi 14095.4436334 361.248462352 25.6966394755 ab
57991.6772008 smi 7321.72668084 351.501722729 24.8605102956 ab
57959.6773397 smv 41370.3623779 254.217339906 25.930070868 ab
57963.6773397 smv 7597.39352121 176.83641499 23.5622536264 ab
57967.6773397 smv 11698.7236983 187.546965835 23.898654215 ab
57971.6773397 smv 29607.7548457 229.91979889 25.0424108462 ab
57975.6773397 smv 55685.52168 281.435268526 26.0222768145 ab
57979.6773397 smv 9402.71492014 181.700359792 24.4922919519 ab
57983.6773397 smv 16249.9735111 200.339345406 25.6376232463 ab
57987.6773397 smv 12419.6168127 189.803594192 25.8932682632 ab
57991.6773397 smv 2884.86321483 162.308432459 24.6740843096 ab
